"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_max","hmp1",-3.8,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_min","hmp1",-16.99,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_avg","hmp2",-8.69347,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_max","hmp2",-3.827,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_min","hmp2",-17.11,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_avg","hmp3",-8.55231,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_max","hmp3",-3.705,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","airtemp_min","hmp3",-16.94,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","DTR","hmp1",13.19,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","DTR","hmp2",13.283,"n"
"raw hmps",2017-01-07,2017,1,7,"c1","cr1000","DTR","hmp3",13.235,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_avg","hmp1",-2.71302,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_max","hmp1",0.695,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_min","hmp1",-6.409,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_avg","hmp2",-2.74076,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_max","hmp2",0.741,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_min","hmp2",-6.436,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_avg","hmp3",-2.63931,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_max","hmp3",0.789,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","airtemp_min","hmp3",-6.337,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","DTR","hmp1",7.104,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","DTR","hmp2",7.177,"n"
"raw hmps",2017-01-08,2017,1,8,"c1","cr1000","DTR","hmp3",7.126,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_avg","hmp1",-0.90335,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_max","hmp1",0.957,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_min","hmp1",-8.32,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_avg","hmp2",-0.92253,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_max","hmp2",0.981,"n"
"raw hmps",2017-01-09,2017,1,9,"c1","cr1000","airtemp_min","hmp2",-8.42,"n"
