"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","DTR","hmp2",7.063,"n"
"raw hmps",2018-01-07,2018,1,7,"d1","cr1000","DTR","hmp3",7.019,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_avg","hmp1",-3.27065,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_max","hmp1",0.07,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_min","hmp1",-7.333,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_avg","hmp2",-3.27069,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_max","hmp2",-0.035,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_min","hmp2",-7.309,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_avg","hmp3",-3.2709,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_max","hmp3",0.01,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","airtemp_min","hmp3",-7.333,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","DTR","hmp1",7.403,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","DTR","hmp2",7.274,"n"
"raw hmps",2018-01-08,2018,1,8,"d1","cr1000","DTR","hmp3",7.343,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_avg","hmp1",-4.52443,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_max","hmp1",-3.464,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_min","hmp1",-6.088,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_avg","hmp2",-4.52456,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_max","hmp2",-3.464,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_min","hmp2",-6.065,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_avg","hmp3",-4.52435,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_max","hmp3",-3.464,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","airtemp_min","hmp3",-6.065,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","DTR","hmp1",2.624,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","DTR","hmp2",2.601,"n"
"raw hmps",2018-01-09,2018,1,9,"d1","cr1000","DTR","hmp3",2.601,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_avg","hmp1",-8.10094,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_max","hmp1",-4.607,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_min","hmp1",-14.98,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_avg","hmp2",-8.10107,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_max","hmp2",-4.608,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_min","hmp2",-14.96,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_avg","hmp3",-8.10083,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_max","hmp3",-4.607,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","airtemp_min","hmp3",-14.98,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","DTR","hmp1",10.373,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","DTR","hmp2",10.352,"n"
"raw hmps",2018-01-10,2018,1,10,"d1","cr1000","DTR","hmp3",10.373,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_avg","hmp1",-16.3616,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_max","hmp1",-12.73,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_min","hmp1",-18.41,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_avg","hmp2",-16.36167,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_max","hmp2",-12.73,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_min","hmp2",-18.41,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_avg","hmp3",-16.36132,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_max","hmp3",-12.73,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","airtemp_min","hmp3",-18.41,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","DTR","hmp1",5.68,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","DTR","hmp2",5.68,"n"
"raw hmps",2018-01-11,2018,1,11,"d1","cr1000","DTR","hmp3",5.68,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_avg","hmp1",-12.16347,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_max","hmp1",-10.88,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_min","hmp1",-13.47,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_avg","hmp2",-12.1634,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_max","hmp2",-10.88,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_min","hmp2",-13.47,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_avg","hmp3",-12.16326,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_max","hmp3",-10.9,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","airtemp_min","hmp3",-13.47,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","DTR","hmp1",2.59,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","DTR","hmp2",2.59,"n"
"raw hmps",2018-01-12,2018,1,12,"d1","cr1000","DTR","hmp3",2.57,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_avg","hmp1",-12.39035,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_max","hmp1",-11.15,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_min","hmp1",-13.44,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_avg","hmp2",-12.38938,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_max","hmp2",-11.15,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_min","hmp2",-13.42,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_avg","hmp3",-12.39028,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_max","hmp3",-11.15,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","airtemp_min","hmp3",-13.44,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","DTR","hmp1",2.29,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","DTR","hmp2",2.27,"n"
"raw hmps",2018-01-13,2018,1,13,"d1","cr1000","DTR","hmp3",2.29,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_avg","hmp1",-10.02692,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_max","hmp1",-7.542,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_min","hmp1",-12.17,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_avg","hmp2",-10.02687,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_max","hmp2",-7.566,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_min","hmp2",-12.15,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_avg","hmp3",-10.02659,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_max","hmp3",-7.542,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","airtemp_min","hmp3",-12.15,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","DTR","hmp1",4.628,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","DTR","hmp2",4.584,"n"
"raw hmps",2018-01-14,2018,1,14,"d1","cr1000","DTR","hmp3",4.608,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_avg","hmp1",-13.59306,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_max","hmp1",-9.51,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_min","hmp1",-17.79,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_avg","hmp2",-13.59264,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_max","hmp2",-9.51,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_min","hmp2",-17.77,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_avg","hmp3",-13.59326,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_max","hmp3",-9.51,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","airtemp_min","hmp3",-17.79,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","DTR","hmp1",8.28,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","DTR","hmp2",8.26,"n"
"raw hmps",2018-01-15,2018,1,15,"d1","cr1000","DTR","hmp3",8.28,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_avg","hmp1",-11.32176,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_max","hmp1",-7.427,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_min","hmp1",-16.44,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_avg","hmp2",-11.32241,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_max","hmp2",-7.403,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_min","hmp2",-16.44,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_avg","hmp3",-11.32183,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_max","hmp3",-7.427,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","airtemp_min","hmp3",-16.44,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","DTR","hmp1",9.013,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","DTR","hmp2",9.037,"n"
"raw hmps",2018-01-16,2018,1,16,"d1","cr1000","DTR","hmp3",9.013,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_avg","hmp1",-8.43739,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_max","hmp1",-5.758,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_min","hmp1",-10.99,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_avg","hmp2",-8.43644,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_max","hmp2",-5.641,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_min","hmp2",-10.99,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_avg","hmp3",-8.43728,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_max","hmp3",-5.57,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","airtemp_min","hmp3",-10.99,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","DTR","hmp1",5.232,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","DTR","hmp2",5.349,"n"
"raw hmps",2018-01-17,2018,1,17,"d1","cr1000","DTR","hmp3",5.42,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_avg","hmp1",-4.25623,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_max","hmp1",-0.788,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_min","hmp1",-9.77,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_avg","hmp2",-4.25605,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_max","hmp2",-0.788,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_min","hmp2",-9.77,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_avg","hmp3",-4.25583,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_max","hmp3",-0.788,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","airtemp_min","hmp3",-9.74,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","DTR","hmp1",8.982,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","DTR","hmp2",8.982,"n"
"raw hmps",2018-01-18,2018,1,18,"d1","cr1000","DTR","hmp3",8.952,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_avg","hmp1",-3.25167,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_max","hmp1",-1.094,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_min","hmp1",-5.049,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_avg","hmp2",-3.2518,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_max","hmp2",-1.121,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_min","hmp2",-5.049,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_avg","hmp3",-3.25139,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_max","hmp3",-1.117,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","airtemp_min","hmp3",-5.049,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","DTR","hmp1",3.955,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","DTR","hmp2",3.928,"n"
"raw hmps",2018-01-19,2018,1,19,"d1","cr1000","DTR","hmp3",3.932,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_avg","hmp1",-5.22385,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_max","hmp1",-0.947,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_min","hmp1",-9.35,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_avg","hmp2",-5.22469,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_max","hmp2",-0.947,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_min","hmp2",-9.35,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_avg","hmp3",-5.22458,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_max","hmp3",-0.995,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","airtemp_min","hmp3",-9.35,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","DTR","hmp1",8.403,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","DTR","hmp2",8.403,"n"
"raw hmps",2018-01-20,2018,1,20,"d1","cr1000","DTR","hmp3",8.355,"n"
"raw hmps",2018-01-21,2018,1,21,"d1","cr1000","airtemp_avg","hmp1",-16.97299,"n"
"raw hmps",2018-01-21,2018,1,21,"d1","cr1000","airtemp_max","hmp1",-8.15,"n"
"raw hmps",2018-01-21,2018,1,21,"d1","cr1000","airtemp_min","hmp1",-20.6,"n"
