"data_source","date","yr","mon","doy","local_site","logger","metric","temp","flag"
"raw logger",1992-11-28,1992,11,333,"sdl","cr21x","airtemp_avg",-10.75,NA
"raw logger",1992-11-28,1992,11,333,"sdl","cr21x","DTR",12.92,NA
"raw logger",1992-11-29,1992,11,334,"sdl","cr21x","airtemp_min",-21.33,NA
"raw logger",1992-11-29,1992,11,334,"sdl","cr21x","DTR",7.95,NA
"raw logger",1992-11-29,1992,11,334,"sdl","cr21x","airtemp_max",-13.38,NA
"raw logger",1992-11-29,1992,11,334,"sdl","cr21x","airtemp_avg",-17.66,NA
"raw logger",1992-11-30,1992,11,335,"sdl","cr21x","airtemp_max",-12.19,NA
"raw logger",1992-11-30,1992,11,335,"sdl","cr21x","airtemp_avg",-15.66,NA
"raw logger",1992-11-30,1992,11,335,"sdl","cr21x","DTR",7.65,NA
"raw logger",1992-11-30,1992,11,335,"sdl","cr21x","airtemp_min",-19.84,NA
"raw logger",1992-12-01,1992,12,336,"sdl","cr21x","DTR",4.21,NA
"raw logger",1992-12-01,1992,12,336,"sdl","cr21x","airtemp_min",-16.2,NA
"raw logger",1992-12-01,1992,12,336,"sdl","cr21x","airtemp_avg",-14.23,NA
"raw logger",1992-12-01,1992,12,336,"sdl","cr21x","airtemp_max",-11.99,NA
"raw logger",1992-12-02,1992,12,337,"sdl","cr21x","airtemp_min",-13.58,NA
"raw logger",1992-12-02,1992,12,337,"sdl","cr21x","DTR",8.637,NA
"raw logger",1992-12-02,1992,12,337,"sdl","cr21x","airtemp_max",-4.943,NA
"raw logger",1992-12-02,1992,12,337,"sdl","cr21x","airtemp_avg",-8.49,NA
"raw logger",1992-12-03,1992,12,338,"sdl","cr21x","airtemp_min",-21.64,NA
"raw logger",1992-12-03,1992,12,338,"sdl","cr21x","DTR",14.769,NA
"raw logger",1992-12-03,1992,12,338,"sdl","cr21x","airtemp_max",-6.871,NA
"raw logger",1992-12-03,1992,12,338,"sdl","cr21x","airtemp_avg",-11.01,NA
"raw logger",1992-12-04,1992,12,339,"sdl","cr21x","DTR",14.79,NA
"raw logger",1992-12-04,1992,12,339,"sdl","cr21x","airtemp_min",-22.87,NA
"raw logger",1992-12-04,1992,12,339,"sdl","cr21x","airtemp_max",-8.08,NA
"raw logger",1992-12-04,1992,12,339,"sdl","cr21x","airtemp_avg",-17.97,NA
"raw logger",1992-12-05,1992,12,340,"sdl","cr21x","airtemp_min",-17.38,NA
"raw logger",1992-12-05,1992,12,340,"sdl","cr21x","DTR",13.134,NA
"raw logger",1992-12-05,1992,12,340,"sdl","cr21x","airtemp_max",-4.246,NA
"raw logger",1992-12-05,1992,12,340,"sdl","cr21x","airtemp_avg",-11.57,NA
"raw logger",1992-12-06,1992,12,341,"sdl","cr21x","airtemp_min",-18.16,NA
"raw logger",1992-12-06,1992,12,341,"sdl","cr21x","DTR",6.26,NA
"raw logger",1992-12-06,1992,12,341,"sdl","cr21x","airtemp_max",-11.9,NA
"raw logger",1992-12-06,1992,12,341,"sdl","cr21x","airtemp_avg",-15.03,NA
"raw logger",1992-12-07,1992,12,342,"sdl","cr21x","airtemp_min",-13.76,NA
"raw logger",1992-12-07,1992,12,342,"sdl","cr21x","DTR",10.408,NA
"raw logger",1992-12-07,1992,12,342,"sdl","cr21x","airtemp_max",-3.352,NA
"raw logger",1992-12-07,1992,12,342,"sdl","cr21x","airtemp_avg",-8.44,NA
"raw logger",1992-12-08,1992,12,343,"sdl","cr21x","DTR",10.103,NA
"raw logger",1992-12-08,1992,12,343,"sdl","cr21x","airtemp_min",-13.27,NA
"raw logger",1992-12-08,1992,12,343,"sdl","cr21x","airtemp_max",-3.167,NA
"raw logger",1992-12-08,1992,12,343,"sdl","cr21x","airtemp_avg",-8.46,NA
"raw logger",1992-12-09,1992,12,344,"sdl","cr21x","airtemp_min",-13.46,NA
"raw logger",1992-12-09,1992,12,344,"sdl","cr21x","DTR",5.74,NA
"raw logger",1992-12-09,1992,12,344,"sdl","cr21x","airtemp_max",-7.72,NA
"raw logger",1992-12-09,1992,12,344,"sdl","cr21x","airtemp_avg",-10.73,NA
"raw logger",1992-12-10,1992,12,345,"sdl","cr21x","airtemp_min",-10.95,NA
"raw logger",1992-12-10,1992,12,345,"sdl","cr21x","DTR",9.938,NA
"raw logger",1992-12-10,1992,12,345,"sdl","cr21x","airtemp_max",-1.012,NA
"raw logger",1992-12-10,1992,12,345,"sdl","cr21x","airtemp_avg",-6.257,NA
"raw logger",1992-12-11,1992,12,346,"sdl","cr21x","airtemp_min",-5.619,NA
"raw logger",1992-12-11,1992,12,346,"sdl","cr21x","DTR",6.443,NA
"raw logger",1992-12-11,1992,12,346,"sdl","cr21x","airtemp_max",0.824,NA
"raw logger",1992-12-11,1992,12,346,"sdl","cr21x","airtemp_avg",-2.71,NA
"raw logger",1992-12-12,1992,12,347,"sdl","cr21x","DTR",15.3,NA
"raw logger",1992-12-12,1992,12,347,"sdl","cr21x","airtemp_max",-5.07,NA
"raw logger",1992-12-12,1992,12,347,"sdl","cr21x","airtemp_avg",-10.56,NA
"raw logger",1992-12-12,1992,12,347,"sdl","cr21x","airtemp_min",-20.37,NA
"raw logger",1992-12-13,1992,12,348,"sdl","cr21x","airtemp_max",-15.53,NA
"raw logger",1992-12-13,1992,12,348,"sdl","cr21x","DTR",7.38,NA
"raw logger",1992-12-13,1992,12,348,"sdl","cr21x","airtemp_avg",-19.4,NA
"raw logger",1992-12-13,1992,12,348,"sdl","cr21x","airtemp_min",-22.91,NA
"raw logger",1992-12-14,1992,12,349,"sdl","cr21x","airtemp_avg",-14.83,NA
"raw logger",1992-12-14,1992,12,349,"sdl","cr21x","DTR",16.471,NA
"raw logger",1992-12-14,1992,12,349,"sdl","cr21x","airtemp_min",-22.14,NA
"raw logger",1992-12-14,1992,12,349,"sdl","cr21x","airtemp_max",-5.669,NA
"raw logger",1992-12-15,1992,12,350,"sdl","cr21x","airtemp_min",-18.15,NA
"raw logger",1992-12-15,1992,12,350,"sdl","cr21x","DTR",7.78,NA
"raw logger",1992-12-15,1992,12,350,"sdl","cr21x","airtemp_max",-10.37,NA
"raw logger",1992-12-15,1992,12,350,"sdl","cr21x","airtemp_avg",-14.49,NA
"raw logger",1992-12-16,1992,12,351,"sdl","cr21x","airtemp_min",-22.78,NA
"raw logger",1992-12-16,1992,12,351,"sdl","cr21x","airtemp_max",-12.23,NA
"raw logger",1992-12-16,1992,12,351,"sdl","cr21x","DTR",10.55,NA
"raw logger",1992-12-16,1992,12,351,"sdl","cr21x","airtemp_avg",-19.45,NA
"raw logger",1992-12-17,1992,12,352,"sdl","cr21x","DTR",8.99,NA
"raw logger",1992-12-17,1992,12,352,"sdl","cr21x","airtemp_min",-21.86,NA
"raw logger",1992-12-17,1992,12,352,"sdl","cr21x","airtemp_max",-12.87,NA
"raw logger",1992-12-17,1992,12,352,"sdl","cr21x","airtemp_avg",-15.54,NA
"raw logger",1992-12-18,1992,12,353,"sdl","cr21x","airtemp_min",-22.11,NA
"raw logger",1992-12-18,1992,12,353,"sdl","cr21x","DTR",7.97,NA
"raw logger",1992-12-18,1992,12,353,"sdl","cr21x","airtemp_max",-14.14,NA
"raw logger",1992-12-18,1992,12,353,"sdl","cr21x","airtemp_avg",-16.77,NA
"raw logger",1992-12-19,1992,12,354,"sdl","cr21x","DTR",13.78,NA
"raw logger",1992-12-19,1992,12,354,"sdl","cr21x","airtemp_min",-27.14,NA
"raw logger",1992-12-19,1992,12,354,"sdl","cr21x","airtemp_max",-13.36,NA
"raw logger",1992-12-19,1992,12,354,"sdl","cr21x","airtemp_avg",-20.35,NA
"raw logger",1992-12-20,1992,12,355,"sdl","cr21x","airtemp_min",-17.54,NA
"raw logger",1992-12-20,1992,12,355,"sdl","cr21x","airtemp_max",-10.53,NA
"raw logger",1992-12-20,1992,12,355,"sdl","cr21x","DTR",7.01,NA
"raw logger",1992-12-20,1992,12,355,"sdl","cr21x","airtemp_avg",-14.78,NA
"raw logger",1992-12-21,1992,12,356,"sdl","cr21x","DTR",10.97,NA
"raw logger",1992-12-21,1992,12,356,"sdl","cr21x","airtemp_min",-18.01,NA
"raw logger",1992-12-21,1992,12,356,"sdl","cr21x","airtemp_max",-7.04,NA
"raw logger",1992-12-21,1992,12,356,"sdl","cr21x","airtemp_avg",-12.67,NA
"raw logger",1992-12-22,1992,12,357,"sdl","cr21x","airtemp_min",-19.64,NA
"raw logger",1992-12-22,1992,12,357,"sdl","cr21x","DTR",5.95,NA
"raw logger",1992-12-22,1992,12,357,"sdl","cr21x","airtemp_max",-13.69,NA
"raw logger",1992-12-22,1992,12,357,"sdl","cr21x","airtemp_avg",-17.14,NA
"raw logger",1992-12-23,1992,12,358,"sdl","cr21x","DTR",11.918,NA
"raw logger",1992-12-23,1992,12,358,"sdl","cr21x","airtemp_min",-18.03,NA
"raw logger",1992-12-23,1992,12,358,"sdl","cr21x","airtemp_max",-6.112,NA
"raw logger",1992-12-23,1992,12,358,"sdl","cr21x","airtemp_avg",-13.09,NA
"raw logger",1992-12-24,1992,12,359,"sdl","cr21x","airtemp_min",-16.46,NA
"raw logger",1992-12-24,1992,12,359,"sdl","cr21x","airtemp_max",-5.077,NA
"raw logger",1992-12-24,1992,12,359,"sdl","cr21x","DTR",11.383,NA
"raw logger",1992-12-24,1992,12,359,"sdl","cr21x","airtemp_avg",-8.9,NA
"raw logger",1992-12-25,1992,12,360,"sdl","cr21x","airtemp_min",-18.95,NA
"raw logger",1992-12-25,1992,12,360,"sdl","cr21x","airtemp_max",-10.14,NA
"raw logger",1992-12-25,1992,12,360,"sdl","cr21x","DTR",8.81,NA
"raw logger",1992-12-25,1992,12,360,"sdl","cr21x","airtemp_avg",-13.86,NA
"raw logger",1992-12-26,1992,12,361,"sdl","cr21x","DTR",4.09,NA
"raw logger",1992-12-26,1992,12,361,"sdl","cr21x","airtemp_max",-7.37,NA
"raw logger",1992-12-26,1992,12,361,"sdl","cr21x","airtemp_avg",-9.64,NA
"raw logger",1992-12-26,1992,12,361,"sdl","cr21x","airtemp_min",-11.46,NA
"raw logger",1992-12-27,1992,12,362,"sdl","cr21x","airtemp_avg",-7.73,NA
"raw logger",1992-12-27,1992,12,362,"sdl","cr21x","DTR",6.867,NA
"raw logger",1992-12-27,1992,12,362,"sdl","cr21x","airtemp_min",-11.13,NA
"raw logger",1992-12-27,1992,12,362,"sdl","cr21x","airtemp_max",-4.263,NA
"raw logger",1992-12-28,1992,12,363,"sdl","cr21x","airtemp_avg",-5.312,NA
"raw logger",1992-12-28,1992,12,363,"sdl","cr21x","airtemp_min",-8.2,NA
"raw logger",1992-12-28,1992,12,363,"sdl","cr21x","DTR",9.443,NA
"raw logger",1992-12-28,1992,12,363,"sdl","cr21x","airtemp_max",1.243,NA
"raw logger",1992-12-29,1992,12,364,"sdl","cr21x","airtemp_avg",-6.365,NA
"raw logger",1992-12-29,1992,12,364,"sdl","cr21x","airtemp_min",-8.12,NA
"raw logger",1992-12-29,1992,12,364,"sdl","cr21x","DTR",4.624,NA
"raw logger",1992-12-29,1992,12,364,"sdl","cr21x","airtemp_max",-3.496,NA
"raw logger",1992-12-30,1992,12,365,"sdl","cr21x","airtemp_min",-14.94,NA
"raw logger",1992-12-30,1992,12,365,"sdl","cr21x","DTR",7.61,NA
"raw logger",1992-12-30,1992,12,365,"sdl","cr21x","airtemp_max",-7.33,NA
"raw logger",1992-12-30,1992,12,365,"sdl","cr21x","airtemp_avg",-11.66,NA
"raw logger",1992-12-31,1992,12,366,"sdl","cr21x","airtemp_avg",-12.32,NA
"raw logger",1992-12-31,1992,12,366,"sdl","cr21x","DTR",11.679,NA
"raw logger",1992-12-31,1992,12,366,"sdl","cr21x","airtemp_min",-18.44,NA
