"data_source","date","yr","mon","doy","local_site","logger","metric","sensor","temp","flag"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_min","hmp2",-6.157,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","DTR","hmp1",7.867,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_avg","hmp3",-2.25128,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_max","hmp3",1.472,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_min","hmp3",-6.348,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_avg","hmp1",-2.10499,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_max","hmp1",1.663,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_min","hmp1",-6.204,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_avg","hmp2",-2.13184,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","airtemp_max","hmp2",1.615,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","DTR","hmp2",7.772,"n"
"raw hmps",2018-01-08,2018,1,8,"sdl","cr1000","DTR","hmp3",7.82,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_max","hmp3",-0.678,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","DTR","hmp2",3.284,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","DTR","hmp3",3.408,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_min","hmp3",-4.086,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","DTR","hmp1",3.384,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_avg","hmp1",-2.2093,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_max","hmp1",-0.559,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_min","hmp1",-3.943,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_avg","hmp2",-2.31162,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_max","hmp2",-0.657,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_min","hmp2",-3.941,"n"
"raw hmps",2018-01-09,2018,1,9,"sdl","cr1000","airtemp_avg","hmp3",-2.34258,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","DTR","hmp1",11.332,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","DTR","hmp2",11.192,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","DTR","hmp3",11.349,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_avg","hmp2",-6.2005,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_avg","hmp1",-6.06443,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_max","hmp1",-1.938,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_min","hmp1",-13.27,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_max","hmp3",-2.081,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_max","hmp2",-2.128,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_min","hmp2",-13.32,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_avg","hmp3",-6.21129,"n"
"raw hmps",2018-01-10,2018,1,10,"sdl","cr1000","airtemp_min","hmp3",-13.43,"n"
"raw hmps",2018-01-11,2018,1,11,"sdl","cr1000","airtemp_avg","hmp1",-14.73271,"n"
"raw hmps",2018-01-11,2018,1,11,"sdl","cr1000","airtemp_min","hmp3",-17.09,"n"
"raw hmps",2018-01-11,2018,1,11,"sdl","cr1000","DTR","hmp1",5.15,"n"
"raw hmps",2018-01-11,2018,1,11,"sdl","cr1000","DTR","hmp2",5.12,"n"
"raw hmps",2018-01-11,2018,1,11,"sdl","cr1000","DTR","hmp3",5.14,"n"
"raw hmps",2018-01-11,2018,1,11,"sdl","cr1000","airtemp_avg","hmp2",-14.69069,"n"
"raw hmps",2018-01-11,2018,1,11,"sdl","cr1000","airtemp_max","hmp2",-11.73,"n"
