"year" "AET.Jan" "AET.Feb" "AET.Mar" "AET.Apr" "AET.May" "AET.Jun" "AET.Jul" "AET.Aug" "AET.Sep" "AET.Oct" "AET.Nov" "AET.Dec" "DEF.Jan" "DEF.Feb" "DEF.Mar" "DEF.Apr" "DEF.May" "DEF.Jun" "DEF.Jul" "DEF.Aug" "DEF.Sep" "DEF.Oct" "DEF.Nov" "DEF.Dec" "SUR.Jan" "SUR.Feb" "SUR.Mar" "SUR.Apr" "SUR.May" "SUR.Jun" "SUR.Jul" "SUR.Aug" "SUR.Sep" "SUR.Oct" "SUR.Nov" "SUR.Dec" "PET.Jan" "PET.Feb" "PET.Mar" "PET.Apr" "PET.May" "PET.Jun" "PET.Jul" "PET.Aug" "PET.Sep" "PET.Oct" "PET.Nov" "PET.Dec"
"14" 1994 0 0 0 11.3256151505391 33.3810023231047 68.2824416633948 51.8582157726434 67.673165847826 31.7023771640028 7.67022121958709 2.17548609690375 0 0 0 0 0 0 0.159033143772816 16.0251275945068 9.2871683435659 16.1022996539088 0.0274540800430918 0 0 0 0 0 39.1127114000428 320.074773676895 197.685375073746 0 0 0 0 0 0 0 0 0 11.3256151505392 33.3810023231045 68.4414748071676 70.2015479346115 73.0653350020828 48.9126369177432 5.31741675046485 2.17548609690375 0
"15" 1995 0 0 1.06346931541596 0 4.30075738517007 42.0977199033418 72.0386205625496 56.6609892298128 20.2523488293302 10.99166439644 0 0 0 0 0 0 0 0 0.0513180939027348 26.4613600707934 26.217125511252 0.51056308994369 0 0 0 0 9.17097291766153 2.63 114.27924261483 603.013880096658 244.776747735582 0 0 0 0 0 0 0 1.06346931541595 0 4.30075738517002 42.0977199033419 72.0899386564523 85.6487276425515 47.5568455099492 11.5022274863837 0 0
"16" 1996 0.593566983505987 0 0 6.50820752336507 29.1923578281276 62.056000469893 63.5298952974233 48.7523054920957 22.1369816627674 22.4733106498955 0.793372400898107 0 0 0 0 0 0 0 12.7654318971166 23.3449743369295 18.4433960472622 0 0 0 0 0 0 15.4740972281015 267.047466171872 509.877359933968 0 0 7.94437216849968 4.35695532424592 15.21824525085 0 0.593566983505991 0 0 3.87820752336506 29.1923578281276 62.056000469893 78.8985430837783 73.2865210803601 41.7411815448088 24.001427024006 0.793372400898107 0
"17" 1997 1.7562230256236 0 0.955984145791173 0.419302029713823 17.5367027717152 57.5979472151782 71.1276034183599 69.0382335257684 43.6567497117355 11.8734969771857 0.643589643428136 0 0 0 0 0 0 0 4.00918313699237 0.655435509111131 14.6269163692695 7.31757209562632 0 0 15.0587769743764 0 6.77401585420883 6.11569797028618 164.313121228285 598.578052784822 67.7802921995904 23.1461740504679 0 0 0 0 1.75622302562359 0 0.955984145791169 0.419302029713823 17.5367027717152 57.5979472151783 75.1367865553522 69.9459100043515 58.6021897288522 20.4049239911913 0.643589643428136 0
"18" 1998 0 0 1.03378138651543 1.13828720369319 24.3206341030515 39.6491941315883 77.7030401511758 72.3603877805847 49.1408964010721 14.9801423034049 0.646649028003663 1.21170408851037 0 0 0 0 0 0 0.0655513192299128 0 13.3005528436533 0 0 0 0 0 0 0 209.519346244505 382.472005868412 66.9871278488237 37.7220464492767 0 0 1.62014152962639 9.14829591148963 0 0 1.03378138651543 1.13828720369318 23.1506341030516 39.6491941315882 77.7685914704058 72.3603877805846 63.297473668823 13.0538543873388 0.646649028003656 1.21170408851037
"19" 1999 0 0 0.65511424647591 0.444278931538156 20.8046269786548 53.2875074103194 78.9752063120294 73.4363040831844 41.813414782229 20.7453224636065 12.0514434727665 0.838122919973758 0 0 0 0 0 0 1.02373184475037 0 3.69706479147165 5.9492741847763 6.17844522456372 0 0 0 4.91488575352409 14.6707210684618 176.661605021345 632.94289258968 47.9131616879706 31.9956678161141 0 0 0 0 0 0 0.655114246475915 0.444278931538144 20.8046269786548 53.2875074103195 79.9989381567797 73.4363040831844 46.2188111846132 27.1784513499573 18.2298886973302 0.83812291997376
"20" 2000 0 0 0 6.18098008493963 34.3142340283193 53.8335724199273 72.6189452210932 57.7158097718603 45.965948144278 10.2770437036772 0 0 0 0 0 0 0 0 2.33791659852174 16.7570975571296 4.81876290572157 4.64021418931923 0 0 0 0 0 26.0888300646991 371.612173971681 390.091627503067 0 0 0 0 0 0 0 0 0 6.18098008493964 34.3142340283192 53.8335724199272 77.3774639810792 76.4284876743753 52.5793458430021 16.359749237918 0 0
"21" 2001 0 0 0 8.03307389343157 27.4831335554879 60.7069301211364 74.8784893999631 70.600498463166 50.5470359249139 11.0250120969202 4.0507530971819 0 0 0 0 0 0 0 0.0669515794347699 0.845130323109332 2.63021535268499 2.67126212473754 0 0 0 0 0 24.6488066978913 240.332250444512 359.471741640894 22.4601016027991 19.8929713442247 0 15.8829539835107 20.0142469028181 0 0 0 0 8.03307389343155 27.4831335554879 60.7069301211364 77.8914913669184 70.8600549618096 54.0627087781357 15.0274055805376 4.05075309718189 0
"22" 2002 0 0 0 6.73363753425954 23.3153455422539 68.3580376545191 65.3579414665947 62.2776195285204 30.6621897960794 9.65528656115801 0 0 0 0 0 0 0 0.227674659287386 12.6513664229653 8.19698229608154 11.4402083772413 0.0356297703430375 0 0 5.45999999999999 0 0 73.7413624657405 235.200046457746 231.686800589534 0 0 0 0 0 0 0 0 0 6.73363753425953 23.3153455422539 68.5857123138065 80.7902692138142 72.2777591730155 43.7824913569783 5.40091633150104 0 0
"23" 2003 1.15783011147755 0 0.370748302085421 14.6739851524862 29.9432351396574 47.7410979072941 75.8624905835881 63.1683540617763 37.9013108491038 19.2489820336755 0 0 0 0 0 0 0 0 7.19240085106926 8.39976385228321 1.02248158065636 8.53061440755345 0 0 0 0 0 91.5494398084991 301.054348860343 364.31334698661 0 0 0 0 0 0 1.15783011147755 0 0.370748302085416 6.73450232520646 29.9432351396574 47.7410979072941 85.9227706606334 74.1351744024036 41.0657063103088 29.0606529588175 0 0
"24" 2004 0 0 5.64774490461817 10.6268675777629 26.5132750606651 50.8283727103594 74.6920144174287 63.7361284571902 42.9306690957635 7.49657913949475 3.51968841352962 0 0 0 0 0 0 0 0.182269875234561 3.24275571973812 5.51724796717089 0.0152028139958722 0 0 0 0 0 24.0450417765915 190.619508939335 431.86378728964 24.4480973987198 2.76120320514129 0 1.03180277717325 21.4437195864704 0 0 0 5.64774490461817 4.07619678428536 26.5132750606652 50.8283727103593 76.8143267642638 69.0414259554325 50.8838383219182 7.51178195349065 3.51968841352961 0
"25" 2005 0.392256750648825 0 0 4.72339318328526 23.9056898725742 47.5720339067656 67.4504044063499 64.9057826127114 34.1787492930128 12.6824574595926 2.31788213106357 0 0 0 0 0 0 0 12.8486280382039 1.7702436209898 22.7435981444548 5.23011057413076 0 0 3.51274324935117 0 0 47.7666068167147 245.870486127426 395.418013743896 0 0 0 0 0 0 0.392256750648828 0 0 4.72339318328524 23.9056898725742 47.5720339067655 82.6007875825243 67.1653395258121 58.6256212247662 18.9865365188461 2.31788213106358 0
"26" 2006 0 0 0 7.07336503043778 28.4381549582874 68.3408138675314 76.3986062979068 46.5142276355025 19.1329693111505 6.93433397291272 2.31141206565734 0 0 0 0 0 0 0 1.1168452478606 22.3948287642118 14.5685486572053 4.31014659400508 0 0 0 0 0 46.2773927136681 256.726381041713 403.968977361442 106.254052870482 0 0 0 0 0 0 0 0 7.07336503043777 28.4381549582874 68.3408138675313 78.8970488802228 70.7738444029331 34.4192153133664 12.4346940456396 2.31141206565734 0
"27" 2007 0 0 1.20983475682556 5.86429520090779 23.2581380584929 60.098832911092 66.1643966584154 75.0402407652911 46.1280630714997 23.8504301930101 2.23357662519147 0 0 0 0 0 0 0 9.15288951562638 0 0.889838434255442 1.01257065900356 0 0 0 0 12.6320196991823 51.8307047990922 217.326629941507 336.156204339964 17.3264265180875 15.5256147159701 0 0 0 0 0 0 1.20983475682555 5.86429520090779 23.2581380584929 60.098832911092 77.2050207903691 76.4743852840298 49.5331841751185 20.3585807621628 2.23357662519147 0
"28" 2008 0 0 0 2.41938873511231 15.9351271310248 49.7918036604289 82.4126436007635 66.7178110131449 46.9766217476838 18.9949459761959 1.93316742087065 0 0 0 0 0 0 0 0 0.922169437487983 0 1.72215087517263 0.385996992863336 0 0 0 0 101.522467751788 142.419872868975 471.040596339571 43.0252671679894 51.0970825324696 0 0 0 0 0 0 0 2.41938873511229 15.9351271310248 49.791803660429 82.4126436007635 70.6046355559356 49.1185576505751 22.5486680299108 3.51573175588029 0
"29" 2009 0 0 0.476544776838351 5.07524975790539 22.1664172694177 50.5814572056713 69.8641881797478 61.5094129641975 23.2411770621004 2.27372226604128 3.58320164320123 0 0 0 0 0 0 0 5.62264341343451 8.96788430938667 24.4273328930974 0 0 0 0 0 0 19.6154404772563 185.554030730582 396.363748065315 0 0 0 0 0 0 0 0 0.476544776838349 5.07524975790539 22.1664172694177 50.5814572056713 78.1948114484589 72.3315289662796 49.2485020067886 2.27372226604128 3.58320164320123 0
"30" 2010 0 0 0 2.17923523304279 11.7313498336252 59.5875962506606 75.3287170897956 73.32079855139 34.4156740196576 7.98383688178348 1.99581340999144 0 0 0 0 0 0 0 2.77510521570151 0.0950204879557981 23.9240914775365 8.60510693957538 0 0 0 0 0 11.1510937811203 105.583650166375 557.926820770465 4.2018317394126 3.33677184412073 0 0 0 0 0 0 0 2.17923523304278 11.7313498336252 59.5875962506609 72.9994052843704 69.8045407954838 60.3716236604711 17.1018000323167 1.99581340999144 0
"31" 2011 0 0 0 0.374035527663216 8.81078833340183 53.4078045140508 77.877909757433 73.9389816711537 35.4768952691018 9.67813517009996 0 0 0 0 0 0 0 0 0 4.46642390893019 9.95806577598236 5.01000344511394 0 0 0 0 0 0 78.2330644724107 571.434195485949 534.200437819757 22.5895478783444 0 0 0 0 0 0 0 0.374035527663213 8.81078833340179 53.4078045140505 77.877909757433 81.0254622602836 47.7401520412138 15.9745184504325 0 0
"32" 2012 0 0 6.04590919158112 12.6564016772191 22.8759756225245 61.4696264383189 71.2672596060484 75.3450164774626 34.5807156942857 14.3206598970254 6.02031825777866 0 0 0 0 0 0 10.8343314943978 2.8490801208807 1.77477502833545 11.5934522169561 4.73842515093556 0 0 0 0 29.8137877309812 130.055182322781 230.067600377476 77.957321574692 88.3148205675149 1.48416782462172 0 0 0 0 0 0 6.04590919158111 12.656401677219 22.8759756225245 72.3039579327167 75.6945358096069 74.667407236546 48.0392628315498 19.9714436653047 2.4330772908201 0
"33" 2013 0 0 0 1.92862427581949 20.7195062294562 65.7226986040706 77.4111331076684 69.7841460871674 49.5303095458064 13.1612241272852 0.16263061588201 0 0 0 0 0 0 0.356423522441388 0 0.632034581553617 0.698894899406758 0 0 0 0 0 0 7.68028500231327 215.757821770544 252.264007000238 3.22151524616524 0 48.0729632030056 55.8661852262902 5.47986938411799 1.17 0 0 0 1.92862427581949 20.7195062294563 66.0791221265119 76.2381957559305 72.6740115196779 52.390210151873 14.6915755737098 0.162630615882006 0
"34" 2014 0 0 0 5.04349994913807 23.7236750926148 54.9758462555087 76.4893988802484 62.5916876342221 51.5745789475743 22.9596539106526 8.19911114255399 1.5127502371731 0 0 0 0 0 0 2.60108235982063 0 6.23622586995603 0.790823111084775 0 0 0 0 0 65.6612872508619 234.632724907385 428.283150631329 29.4903246553118 0 0 0 0 0 0 0 0 5.04349994913806 23.7236750926149 54.9758462555088 80.5103128176708 64.0883849938473 59.4988686030159 23.7504770217374 2.14315836825328 1.51275023717311
"35" 2015 0.933365528860891 0 4.38949075331773 0.704567387340346 1.10456869246106 60.1102688384969 64.638899189547 50.0961870146809 18.4304888697792 7.78668860445939 0.50696549769887 0 0 0 0 0 0 0 0.530478977507736 20.5620028593145 39.807522195781 12.8821657465785 0 0 3.96504422815296 0 36.8105092466823 8.71543261265965 13.8865673075389 501.096731161503 132.661758767668 0 0 0 0 0 0.933365528860893 0 4.38949075331771 0.704567387340339 1.10456869246105 60.1102688384971 65.1693781670547 72.9514240521603 59.183940552389 20.9950846971022 0.50696549769887 0
"36" 2016 0 0 0 0 4.45307728882497 65.3899720189859 64.337480980736 56.1060200575337 52.4931444038291 20.2144232923945 5.93031827471178 0 0 0 0 0 0 0 4.16026489025557 2.00196697175486 11.1251845824152 14.5496336242058 6.40911209923569 0 0 0 0 0 0 566.327185860279 126.334125784618 0 0 0 0 0 0 0 0 0 4.45307728882498 61.946402896005 68.4977458709916 59.4117606207746 65.1557897352162 35.4636661564686 11.9932283600443 0
"37" 2017 0 0 4.77176122692287 1.75987240671988 15.0061734073862 63.807710340966 74.1074489238802 68.3960375998439 37.1963829148204 12.1370713454189 0.942007377985867 0 0 0 0 0 0 0 2.10968887846698 0.000418726320911172 11.0702347818518 0.0325726578067287 0 0 0 0 0 23.9320280061112 152.233989980415 517.413813315725 0 35.4310251911307 0 0 0 0 0 0 4.77176122692287 1.75987240671988 15.0061734073862 63.8077103409656 78.3779819066562 70.4704930213781 50.1971679591728 12.1696440032256 0.835600975955651 0
