eco_year,sumallPC1,sumallPC2,MAT,wnt_meanT,spr_meanT,sum_meanT,fal_meanT,tot_precip,wnt_precip,spr_precip,sum_precip,fal_precip,moisturedeficit,sum_moisturedeficit,fal_moisturedeficit,PET,spr_PET,sum_PET,fal_PET,GDD,sum_GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,iceoff_GL4
1994,0.9487814841540195,-0.6223319494943497,-2.052054794520548,-11.727777777777778,-2.505434782608696,9.173913043478262,-3.3736263736263736,839.85,368.55,157.56,132,181.74,57.9044343075635,25.471329081845486,32.43310522571801,312.8006057166291,44.70661747364365,211.70835774386194,55.444981546507016,550.5,437,48,35,113,156,180
1995,-0.9334458206226607,0.45650315640142225,-2.063013698630137,-9.194444444444445,-5.206521739130435,7.798913043478261,-1.8021978021978022,1170.55,251.94,438.75,334,145.85999999999999,42.64243189864804,26.512678164696112,16.129753733951933,261.6061526680435,5.364226700585971,199.83638620234575,56.405539765111754,452,367,96,68,102,117,220
1996,0.5411946520204062,-0.9389556891846225,-1.685792349726776,-10.538461538461538,-3.8532608695652173,8.831521739130435,-1.2747252747252746,1039.72,416.90999999999997,286.65,124,212.16,62.838094835241805,36.11040623404617,26.727688601195645,306.9642699653629,33.07056535149266,214.24106463403137,59.05907299633287,525,412.5,66,39,109,140,199
1997,-0.26354065143513766,0.05469201862810778,-2.3643835616438356,-11.316666666666666,-4.668478260869565,7.836956521739131,-1.4945054945054945,1198.3799999999999,449.28,306.93,207,235.17,23.10801469336575,4.6646186461035,18.443396047262247,289.88483671743865,18.911988947220184,202.680643774882,66.53598096971291,446.5,340.5,69,51,103,139,200
1998,-0.8543835235751673,0.7345573740975332,-2.278082191780822,-10.744444444444444,-4.559782608695652,7.293478260869565,-1.2747252747252746,987.04,281.58,200.46,310,195,22.0100397841257,0.0655513192299128,21.944488464895784,294.75157943931055,25.322702693260194,189.77817338257867,79.65070336347166,467,331,78,57,110,122,200
1999,-0.40572611977616024,1.1442215975609118,-1.784931506849315,-10.222222222222221,-4.532608695652174,7.815217391304348,-0.36813186813186816,1216.03,342.03,361.53,367,145.47,14.324284688403687,1.0237318447503734,13.300552843653312,306.83645097962835,21.90402015666889,206.7227496502836,76.9979770841655,460.5,336,80,51,111,134,195
2e3,0.689827125458108,-0.19746793905067117,-0.5122950819672131,-9.483516483516484,-2.635869565217391,9.103260869565217,0.8846153846153846,1092.1,439.14,371.28,160,121.67999999999999,34.91979835646303,19.095014155651363,15.824784200811672,340.600012340515,40.49521411325883,207.6395240753817,91.6271512319007,610,440,58,29,123,128,183
2001,0.18417669055434693,0.9951582234223506,-1.7726027397260273,-10.705555555555556,-3.625,8.76086956521739,-1.7142857142857142,966.72,302.64,302.64,246,115.44,10.371058997584907,0.9120819025441022,9.458977095040805,313.91377897970403,35.516207448919474,209.45847644986443,68.93909508092014,550.5,411.5,58,39,85,86,183
2002,1.5439386346493025,0.22945484964869647,-1.0095890410958903,-11.055555555555555,-3.4184782608695654,10.26086956521739,-0.03296703296703297,854.81,359.19,168.09,161,166.53,26.377500855756708,21.076023378334177,5.30147747742253,324.8435912330048,30.0489830765134,221.65374070063623,73.1408674558552,676,528,45,29,118,130,159
2003,0.683121466499928,-0.00933127792367242,-1.4972602739726026,-9.95,-3.3097826086956523,8.842391304347826,-1.7582417582417582,1058.49,252.72,435.63,204,166.14,27.06800285093683,15.59216470335247,11.475838147584358,295.1887665372373,37.04848576694932,207.79904297033116,49.18340768847931,561,434,42,27,96,141,193
