"spp_gains","plot","year","event","rem","nut","USDA_code","USDA_name","growth_habit"
"FESBRA","CDN",2006,5,"D","N","FEBR","Festuca brachyphylla","graminoid"
"SOLMUL","CDN",2006,5,"D","N","SOMU","Solidago multiradiata","forb"
NA,"CDN",2007,6,"D","N",NA,NA,NA
NA,"CDN",2008,7,"D","N",NA,NA,NA
NA,"CDN",2009,8,"D","N",NA,NA,NA
NA,"CDN",2010,9,"D","N",NA,NA,NA
NA,"CDN",2011,10,"D","N",NA,NA,NA
NA,"CDN",2012,11,"D","N",NA,NA,NA
NA,"CDN",2013,12,"D","N",NA,NA,NA
NA,"CDN",2014,13,"D","N",NA,NA,NA
"CARHET","CDN",2015,14,"D","N","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"SEDLAN","CDN",2015,14,"D","N","SELA","Sedum lanceolatum","forb"
NA,"CDN",2016,15,"D","N",NA,NA,NA
"GENAMA","CDN",2017,16,"D","N","GEAM3","Gentianella amarella","forb"
"CARNOV","CDN",2018,17,"D","N","CANO3","Carex nova","graminoid"
"AREFEN","CDX",2003,2,"D","X","ARFE3","Arenaria fendleri","forb"
"RHOINT","CDX",2003,2,"D","X","RHIN11","Rhodiola integrifolia","forb"
"DANINT","CDX",2004,3,"D","X","DAIN","Danthonia intermedia","graminoid"
"LEWPYG","CDX",2005,4,"D","X","LEPY2","Lewisia pygmaea","forb"
"SEDLAN","CDX",2006,5,"D","X","SELA","Sedum lanceolatum","forb"
"SOLMUL","CDX",2006,5,"D","X","SOMU","Solidago multiradiata","forb"
"POAALP","CDX",2007,6,"D","X","POAL2","Poa alpina","graminoid"
"POAGLA","CDX",2007,6,"D","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
"SALIX_SP1","CDX",2007,6,"D","X","SALIX","Salix","shrub, subshrub"
NA,"CDX",2008,7,"D","X",NA,NA,NA
"ALLGEY","CDX",2009,8,"D","X","ALGE","Allium geyeri","forb"
"CHIJAM","CDX",2009,8,"D","X","CHJA","Chionophila jamesii","forb"
"SAXRHO","CDX",2010,9,"D","X","SARH2","Saxifraga rhomboidea","forb"
NA,"CDX",2011,10,"D","X",NA,NA,NA
NA,"CDX",2012,11,"D","X",NA,NA,NA
NA,"CDX",2013,12,"D","X",NA,NA,NA
"CARHET","CDX",2014,13,"D","X","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
"POAARC","CDX",2014,13,"D","X","POARG","Poa arctica ssp. grayana","graminoid"
"CERARV","CDX",2015,14,"D","X","CEARS2","Cerastium arvense ssp. strictum","forb"
"GENAMA","CDX",2016,15,"D","X","GEAM3","Gentianella amarella","forb"
NA,"CDX",2017,16,"D","X",NA,NA,NA
"ANTMED","CDX",2018,17,"D","X","ANME2","Antennaria media","forb"
"DRACRA2","CDX",2018,17,"D","X","DRCR2","Draba crassifolia","forb"
"NOCFEN","CDX",2018,17,"D","X","NOFEG","Noccaea fendleri ssp. glauca","forb"
"SELDEN","CDX",2018,17,"D","X","SEDES","Selaginella densa var. scopulorum","lycopod"
NA,"CXC",2003,2,"X","C",NA,NA,NA
NA,"CXC",2004,3,"X","C",NA,NA,NA
"AREFEN","CXC",2005,4,"X","C","ARFE3","Arenaria fendleri","forb"
"DANINT","CXC",2005,4,"X","C","DAIN","Danthonia intermedia","graminoid"
"LEWPYG","CXC",2005,4,"X","C","LEPY2","Lewisia pygmaea","forb"
"LUZSPI","CXC",2005,4,"X","C","LUSP4","Luzula spicata","graminoid"
"TRISPI","CXC",2005,4,"X","C","TRSP2","Trisetum spicatum","graminoid"
