"lost_spp","year","event","plot","type","USDA_name"
NA,1990,2,2,"MM",NA
NA,1995,3,2,"MM",NA
NA,1997,4,2,"MM",NA
NA,2006,5,2,"MM",NA
"POARG",2008,6,2,"MM","Poa arctica ssp. grayana"
NA,2010,7,2,"MM",NA
"PODI2",2011,8,2,"MM","Potentilla diversifolia"
"ERSI3",2011,8,2,"MM","Erigeron simplex"
"CAOC4",2012,9,2,"MM","Castilleja occidentalis"
NA,2013,10,2,"MM",NA
NA,2014,11,2,"MM",NA
"ARSC",2015,12,2,"MM","Artemisia scopulorum"
"RAAD",2016,13,2,"MM","Ranunculus adoneus"
"POAL2",2016,13,2,"MM","Poa alpina"
NA,1990,2,3,"MM",NA
"POBI6",1995,3,3,"MM","Polygonum bistortoides"
"MEOB",1997,4,3,"MM","Mertensia oblongifolia"
"POVI3",1997,4,3,"MM","Polygonum viviparum"
"POARG",2006,5,3,"MM","Poa arctica ssp. grayana"
NA,2008,6,3,"MM",NA
NA,2010,7,3,"MM",NA
NA,2011,8,3,"MM",NA
NA,2012,9,3,"MM",NA
"CASCS2",2013,10,3,"MM","Carex scopulorum var. scopulorum"
"TRPAP",2014,11,3,"MM","Trifolium parryi ssp. parryi"
NA,2015,12,3,"MM",NA
"DECE",2016,13,3,"MM","Deschampsia cespitosa"
NA,1990,2,4,"MM",NA
NA,1995,3,4,"MM",NA
NA,1997,4,4,"MM",NA
"POVI3",2006,5,4,"MM","Polygonum viviparum"
NA,2008,6,4,"MM",NA
"CASCS2",2010,7,4,"MM","Carex scopulorum var. scopulorum"
NA,2011,8,4,"MM",NA
NA,2012,9,4,"MM",NA
NA,2013,10,4,"MM",NA
NA,2014,11,4,"MM",NA
NA,2015,12,4,"MM",NA
"RAAD",2016,13,4,"MM","Ranunculus adoneus"
NA,1990,2,5,"SB",NA
NA,1995,3,5,"SB",NA
NA,1997,4,5,"SB",NA
NA,2006,5,5,"SB",NA
NA,2008,6,5,"SB",NA
NA,2010,7,5,"SB",NA
NA,2011,8,5,"SB",NA
NA,2012,9,5,"SB",NA
NA,2013,10,5,"SB",NA
"CHJA",2014,11,5,"SB","Chionophila jamesii"
"LEPY2",2015,12,5,"SB","Lewisia pygmaea"
"TRSP2",2015,12,5,"SB","Trisetum spicatum"
"ERSI3",2016,13,5,"SB","Erigeron simplex"
"RAAD",2016,13,5,"SB","Ranunculus adoneus"
"CAOC4",1990,2,6,"SB","Castilleja occidentalis"
"POVI3",1990,2,6,"SB","Polygonum viviparum"
"SOMU",1995,3,6,"SB","Solidago multiradiata"
NA,1997,4,6,"SB",NA
"POARG",2006,5,6,"SB","Poa arctica ssp. grayana"
NA,2008,6,6,"SB",NA
"GEAL2",2010,7,6,"SB","Gentiana algida"
"SIACS2",2011,8,6,"SB","Silene acaulis var. subacaulescens"
NA,2012,9,6,"SB",NA
NA,2013,10,6,"SB",NA
"CHJA",2014,11,6,"SB","Chionophila jamesii"
"ARFEF3",2015,12,6,"SB","Arenaria fendleri var. fendleri"
NA,2016,13,6,"SB",NA
"SOMU",1990,2,7,"WM","Solidago multiradiata"
"SANI8",1990,2,7,"WM","Salix nivalis"
NA,1995,3,7,"WM",NA
NA,1997,4,7,"WM",NA
NA,2006,5,7,"WM",NA
NA,2008,6,7,"WM",NA
NA,2010,7,7,"WM",NA
NA,2011,8,7,"WM",NA
"RHRH4",2012,9,7,"WM","Rhodiola rhodantha"
"POGLR2",2012,9,7,"WM","Poa glauca ssp. rupicola"
NA,2013,10,7,"WM",NA
"MIOB2",2014,11,7,"WM","Minuartia obtusiloba"
NA,2015,12,7,"WM",NA
"FEBR",2016,13,7,"WM","Festuca brachyphylla"
"GEAMA",2016,13,7,"WM","Gentianella amarella ssp. acuta"
"PEGR2",2016,13,7,"WM","Pedicularis groenlandica"
NA,1990,2,8,"MM",NA
"POAL2",1995,3,8,"MM","Poa alpina"
"SAPE18",1997,4,8,"MM","Salix petrophila"
"KOMY",1997,4,8,"MM","Kobresia myosuroides"
NA,2006,5,8,"MM",NA
NA,2008,6,8,"MM",NA
NA,2010,7,8,"MM",NA
NA,2011,8,8,"MM",NA
NA,2012,9,8,"MM",NA
NA,2013,10,8,"MM",NA
"PHPU5",2014,11,8,"MM","Phlox pulvinata"
"POVI3",2015,12,8,"MM","Polygonum viviparum"
"POBI6",2016,13,8,"MM","Polygonum bistortoides"
"FEBR",2016,13,8,"MM","Festuca brachyphylla"
"SELA",2016,13,8,"MM","Sedum lanceolatum"
"POAL2",1990,2,9,"DM","Poa alpina"
NA,1995,3,9,"DM",NA
NA,1997,4,9,"DM",NA
NA,2006,5,9,"DM",NA
"NOMO2",2008,6,9,"DM","Noccaea montana"
NA,2010,7,9,"DM",NA
NA,2011,8,9,"DM",NA
NA,2012,9,9,"DM",NA
"ERNA",2013,10,9,"DM","Eritrichium nanum"
"CASCS2",2014,11,9,"DM","Carex scopulorum var. scopulorum"
"TRSP2",2015,12,9,"DM","Trisetum spicatum"
"LUSP4",2015,12,9,"DM","Luzula spicata"
NA,2016,13,9,"DM",NA
NA,1990,2,10,"FF",NA
"CACA13",1995,3,10,"FF","Carex capitata"
NA,1997,4,10,"FF",NA
"SELA",2006,5,10,"FF","Sedum lanceolatum"
"TRNA2",2008,6,10,"FF","Trifolium nanum"
NA,2010,7,10,"FF",NA
NA,2011,8,10,"FF",NA
NA,2012,9,10,"FF",NA
NA,2013,10,10,"FF",NA
"CAOC4",2014,11,10,"FF","Castilleja occidentalis"
"POVI3",2014,11,10,"FF","Polygonum viviparum"
"ERSI3",2015,12,10,"FF","Erigeron simplex"
"ALGE",2016,13,10,"FF","Allium geyeri"
"POBI6",2016,13,10,"FF","Polygonum bistortoides"
"ARFEF3",2016,13,10,"FF","Arenaria fendleri var. fendleri"
"MIRU3",2016,13,10,"FF","Minuartia rubella"
"PHPU5",2016,13,10,"FF","Phlox pulvinata"
"TRSP2",1990,2,101,"FF","Trisetum spicatum"
NA,1995,3,101,"FF",NA
NA,1997,4,101,"FF",NA
"TRDA2",2006,5,101,"FF","Trifolium dasyphyllum"
"CAOC4",2006,5,101,"FF","Castilleja occidentalis"
"NOMO2",2006,5,101,"FF","Noccaea montana"
NA,2008,6,101,"FF",NA
NA,2010,7,101,"FF",NA
NA,2011,8,101,"FF",NA
NA,2012,9,101,"FF",NA
NA,2013,10,101,"FF",NA
"LLSE",2014,11,101,"FF","Lloydia serotina"
"ARSC",2014,11,101,"FF","Artemisia scopulorum"
"ERSI3",2014,11,101,"FF","Erigeron simplex"
"SELA",2014,11,101,"FF","Sedum lanceolatum"
NA,2015,12,101,"FF",NA
NA,2016,13,101,"FF",NA
"CAEL3",1990,2,11,"SB","Carex elynoides"
"CARUD",1990,2,11,"SB","Carex rupestris var. drummondiana"
"SIACS2",1995,3,11,"SB","Silene acaulis var. subacaulescens"
"SELA",1997,4,11,"SB","Sedum lanceolatum"
"SEFRB",1997,4,11,"SB","Senecio fremontii var. blitoides"
"DECE",2006,5,11,"SB","Deschampsia cespitosa"
"CAOC4",2008,6,11,"SB","Castilleja occidentalis"
NA,2010,7,11,"SB",NA
NA,2011,8,11,"SB",NA
NA,2012,9,11,"SB",NA
"LLSE",2013,10,11,"SB","Lloydia serotina"
NA,2014,11,11,"SB",NA
"CAPY3",2015,12,11,"SB","Carex pyrenaica"
"TRPAP",2015,12,11,"SB","Trifolium parryi ssp. parryi"
"LUSP4",2016,13,11,"SB","Luzula spicata"
"FEBR",2016,13,11,"SB","Festuca brachyphylla"
NA,1990,2,12,"SB",NA
NA,1995,3,12,"SB",NA
NA,1997,4,12,"SB",NA
"POARG",2006,5,12,"SB","Poa arctica ssp. grayana"
"POAL2",2006,5,12,"SB","Poa alpina"
"LUSP4",2006,5,12,"SB","Luzula spicata"
"FEBR",2008,6,12,"SB","Festuca brachyphylla"
NA,2010,7,12,"SB",NA
NA,2011,8,12,"SB",NA
"LEPY2",2012,9,12,"SB","Lewisia pygmaea"
"ARFEF3",2013,10,12,"SB","Arenaria fendleri var. fendleri"
NA,2014,11,12,"SB",NA
"TRSP2",2015,12,12,"SB","Trisetum spicatum"
NA,2016,13,12,"SB",NA
NA,1990,2,14,"SB",NA
"DECE",1995,3,14,"SB","Deschampsia cespitosa"
NA,1997,4,14,"SB",NA
NA,2006,5,14,"SB",NA
"FEBR",2008,6,14,"SB","Festuca brachyphylla"
"POARG",2008,6,14,"SB","Poa arctica ssp. grayana"
NA,2010,7,14,"SB",NA
NA,2011,8,14,"SB",NA
NA,2012,9,14,"SB",NA
NA,2013,10,14,"SB",NA
NA,2014,11,14,"SB",NA
"CAOC4",2015,12,14,"SB","Castilleja occidentalis"
"LEPY2",2015,12,14,"SB","Lewisia pygmaea"
"ARFEF3",2016,13,14,"SB","Arenaria fendleri var. fendleri"
NA,1990,2,15,"SB",NA
NA,1995,3,15,"SB",NA
"POVI3",1997,4,15,"SB","Polygonum viviparum"
"ORALA",2006,5,15,"SB","Oreoxis alpina ssp. alpina"
"RAAD",2008,6,15,"SB","Ranunculus adoneus"
"TRPAP",2010,7,15,"SB","Trifolium parryi ssp. parryi"
NA,2011,8,15,"SB",NA
NA,2012,9,15,"SB",NA
NA,2013,10,15,"SB",NA
NA,2014,11,15,"SB",NA
NA,2015,12,15,"SB",NA
"LEPY2",2016,13,15,"SB","Lewisia pygmaea"
"CHJA",2016,13,15,"SB","Chionophila jamesii"
NA,1990,2,16,"SB",NA
NA,1995,3,16,"SB",NA
"ERME2",1997,4,16,"SB","Erigeron melanocephalus"
"CHJA",2006,5,16,"SB","Chionophila jamesii"
NA,2008,6,16,"SB",NA
NA,2010,7,16,"SB",NA
NA,2011,8,16,"SB",NA
NA,2012,9,16,"SB",NA
"SIACS2",2013,10,16,"SB","Silene acaulis var. subacaulescens"
NA,2014,11,16,"SB",NA
NA,2015,12,16,"SB",NA
"LEPY2",2016,13,16,"SB","Lewisia pygmaea"
NA,1990,2,17,"MM",NA
"SEDES",1995,3,17,"MM","Selaginella densa var. scopulorum"
"KOMY",1997,4,17,"MM","Kobresia myosuroides"
"SARH2",1997,4,17,"MM","Saxifraga rhomboidea"
