"lost_spp","year","event","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
"LLOSER",2016,15,"4_CAN","Tundra Lab",4,"CAN","A","N","LLSE","Lloydia serotina","forb"
NA,2017,16,"4_CAN","Tundra Lab",4,"CAN","A","N",NA,NA,NA
"FESBRA",2018,17,"4_CAN","Tundra Lab",4,"CAN","A","N","FEBR","Festuca brachyphylla","graminoid"
NA,2003,2,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,2004,3,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"CHIJAM",2005,4,"5_CAN","Watershed",5,"CAN","A","N","CHJA","Chionophila jamesii","forb"
"AREFEN",2006,5,"5_CAN","Watershed",5,"CAN","A","N","ARFE3","Arenaria fendleri","forb"
"CALLEP",2006,5,"5_CAN","Watershed",5,"CAN","A","N","CALE4","Caltha leptosepala","forb"
NA,2007,6,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,2008,7,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,2009,8,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,2010,9,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"POAGLA",2011,10,"5_CAN","Watershed",5,"CAN","A","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2012,11,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
NA,2013,12,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"LEWPYG",2014,13,"5_CAN","Watershed",5,"CAN","A","N","LEPY2","Lewisia pygmaea","forb"
"POAALP",2014,13,"5_CAN","Watershed",5,"CAN","A","N","POAL2","Poa alpina","graminoid"
NA,2015,14,"5_CAN","Watershed",5,"CAN","A","N",NA,NA,NA
"CERARV",2016,15,"5_CAN","Watershed",5,"CAN","A","N","CEARS2","Cerastium arvense ssp. strictum","forb"
"GENALG",2017,16,"5_CAN","Watershed",5,"CAN","A","N","GEAL2","Gentiana algida","forb"
"CARSCO",2018,17,"5_CAN","Watershed",5,"CAN","A","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2003,2,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2004,3,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
"BISVIV",2005,4,"6_CAN","Lefty",6,"CAN","A","N","POVI3","Polygonum viviparum","forb"
"CASOCC",2006,5,"6_CAN","Lefty",6,"CAN","A","N","CAOC4","Castilleja occidentalis","forb"
NA,2007,6,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2008,7,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
"LLOSER",2009,8,"6_CAN","Lefty",6,"CAN","A","N","LLSE","Lloydia serotina","forb"
"POAGLA",2010,9,"6_CAN","Lefty",6,"CAN","A","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2011,10,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2012,11,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2013,12,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
"DANINT",2014,13,"6_CAN","Lefty",6,"CAN","A","N","DAIN","Danthonia intermedia","graminoid"
NA,2015,14,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2016,15,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2017,16,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
NA,2018,17,"6_CAN","Lefty",6,"CAN","A","N",NA,NA,NA
"MERLAN",2003,2,"7_CAN","Subalpine",7,"CAN","A","N","MELA3","Mertensia lanceolata","forb"
"SIBPRO",2004,3,"7_CAN","Subalpine",7,"CAN","A","N","SIPR","Sibbaldia procumbens","forb"
NA,2005,4,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
"RANADO",2006,5,"7_CAN","Subalpine",7,"CAN","A","N","RAAD","Ranunculus adoneus","forb"
NA,2007,6,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
"STELON",2008,7,"7_CAN","Subalpine",7,"CAN","A","N","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2009,8,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
"CARSCO",2010,9,"7_CAN","Subalpine",7,"CAN","A","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2011,10,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
NA,2012,11,"7_CAN","Subalpine",7,"CAN","A","N",NA,NA,NA
