"lost_spp","year","event","sitekey","local_site","site","plot","rem","nut","USDA_code","USDA_name","growth_habit"
NA,2007,6,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2008,7,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
"CASOCC",2009,8,"3_CDN","Edge",3,"CDN","D","N","CAOC4","Castilleja occidentalis","forb"
NA,2010,9,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2011,10,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2012,11,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2013,12,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2014,13,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2015,14,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2016,15,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
NA,2017,16,"3_CDN","Edge",3,"CDN","D","N",NA,NA,NA
"ERISIM",2018,17,"3_CDN","Edge",3,"CDN","D","N","ERSI3","Erigeron simplex","forb"
"LUZSPI",2018,17,"3_CDN","Edge",3,"CDN","D","N","LUSP4","Luzula spicata","graminoid"
"CASOCC",2003,2,"4_CDN","Tundra Lab",4,"CDN","D","N","CAOC4","Castilleja occidentalis","forb"
NA,2004,3,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2005,4,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2006,5,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2007,6,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2008,7,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
"LEWPYG",2009,8,"4_CDN","Tundra Lab",4,"CDN","D","N","LEPY2","Lewisia pygmaea","forb"
NA,2010,9,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2011,10,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2012,11,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2013,12,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2014,13,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2015,14,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
"MINOBT",2016,15,"4_CDN","Tundra Lab",4,"CDN","D","N","MIOB2","Minuartia obtusiloba","forb"
NA,2017,16,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
NA,2018,17,"4_CDN","Tundra Lab",4,"CDN","D","N",NA,NA,NA
"RHORHO",2003,2,"5_CDN","Watershed",5,"CDN","D","N","RHRH4","Rhodiola rhodantha","forb"
NA,2004,3,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
NA,2005,4,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
NA,2006,5,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
NA,2007,6,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
NA,2008,7,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
NA,2009,8,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
NA,2010,9,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
"POAGLA",2011,10,"5_CDN","Watershed",5,"CDN","D","N","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2012,11,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
NA,2013,12,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
"CHIJAM",2014,13,"5_CDN","Watershed",5,"CDN","D","N","CHJA","Chionophila jamesii","forb"
NA,2015,14,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
"FESBRA",2016,15,"5_CDN","Watershed",5,"CDN","D","N","FEBR","Festuca brachyphylla","graminoid"
NA,2017,16,"5_CDN","Watershed",5,"CDN","D","N",NA,NA,NA
"CARSCO",2018,17,"5_CDN","Watershed",5,"CDN","D","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"MERLAN",2018,17,"5_CDN","Watershed",5,"CDN","D","N","MELA3","Mertensia lanceolata","forb"
"PRIANG",2003,2,"6_CDN","Lefty",6,"CDN","D","N","PRAN","Primula angustifolia","forb"
NA,2004,3,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
"STELON",2005,4,"6_CDN","Lefty",6,"CDN","D","N","STLOL7","Stellaria longipes ssp. longipes","forb"
"BISVIV",2006,5,"6_CDN","Lefty",6,"CDN","D","N","POVI3","Polygonum viviparum","forb"
"SOLMUL",2007,6,"6_CDN","Lefty",6,"CDN","D","N","SOMU","Solidago multiradiata","forb"
NA,2008,7,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
NA,2009,8,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
NA,2010,9,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
NA,2011,10,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
NA,2012,11,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
NA,2013,12,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
"CALLEP",2014,13,"6_CDN","Lefty",6,"CDN","D","N","CALE4","Caltha leptosepala","forb"
"SALIX_SP1",2014,13,"6_CDN","Lefty",6,"CDN","D","N","SALIX","Salix","shrub, subshrub"
NA,2015,14,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
NA,2016,15,"6_CDN","Lefty",6,"CDN","D","N",NA,NA,NA
"SIBPRO",2017,16,"6_CDN","Lefty",6,"CDN","D","N","SIPR","Sibbaldia procumbens","forb"
"GENAMA",2018,17,"6_CDN","Lefty",6,"CDN","D","N","GEAM3","Gentianella amarella","forb"
"MERLAN",2003,2,"7_CDN","Subalpine",7,"CDN","D","N","MELA3","Mertensia lanceolata","forb"
"PHLALP",2004,3,"7_CDN","Subalpine",7,"CDN","D","N","PHAL2","Phleum alpinum","graminoid"
NA,2005,4,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
"ACHMIL",2006,5,"7_CDN","Subalpine",7,"CDN","D","N","ACMIA","Achillea millefolium var. alpicola","forb"
NA,2007,6,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
NA,2008,7,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
NA,2009,8,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
NA,2010,9,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
NA,2011,10,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
NA,2012,11,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
NA,2013,12,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
"CASOCC",2014,13,"7_CDN","Subalpine",7,"CDN","D","N","CAOC4","Castilleja occidentalis","forb"
"CARSCO",2015,14,"7_CDN","Subalpine",7,"CDN","D","N","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"RHORHO",2016,15,"7_CDN","Subalpine",7,"CDN","D","N","RHRH4","Rhodiola rhodantha","forb"
NA,2017,16,"7_CDN","Subalpine",7,"CDN","D","N",NA,NA,NA
"SIBPRO",2018,17,"7_CDN","Subalpine",7,"CDN","D","N","SIPR","Sibbaldia procumbens","forb"
NA,2003,2,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
NA,2004,3,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
NA,2005,4,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
"AREFEN",2006,5,"1_CDX","Longs",1,"CDX","D","X","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
"LEWPYG",2008,7,"1_CDX","Longs",1,"CDX","D","X","LEPY2","Lewisia pygmaea","forb"
NA,2009,8,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
NA,2010,9,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
NA,2011,10,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
NA,2012,11,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
"POAGLA",2013,12,"1_CDX","Longs",1,"CDX","D","X","POGLR2","Poa glauca ssp. rupicola","graminoid"
"POAALP",2014,13,"1_CDX","Longs",1,"CDX","D","X","POAL2","Poa alpina","graminoid"
"SEDLAN",2014,13,"1_CDX","Longs",1,"CDX","D","X","SELA","Sedum lanceolatum","forb"
NA,2015,14,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
NA,2016,15,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
NA,2017,16,"1_CDX","Longs",1,"CDX","D","X",NA,NA,NA
"SALIX_SP1",2018,17,"1_CDX","Longs",1,"CDX","D","X","SALIX","Salix","shrub, subshrub"
"ERISIM",2003,2,"2_CDX","Edge",2,"CDX","D","X","ERSI3","Erigeron simplex","forb"
"LLOSER",2004,3,"2_CDX","Edge",2,"CDX","D","X","LLSE","Lloydia serotina","forb"
"RHORHO",2005,4,"2_CDX","Edge",2,"CDX","D","X","RHRH4","Rhodiola rhodantha","forb"
"AREFEN",2006,5,"2_CDX","Edge",2,"CDX","D","X","ARFE3","Arenaria fendleri","forb"
"RHOINT",2006,5,"2_CDX","Edge",2,"CDX","D","X","RHIN11","Rhodiola integrifolia","forb"
NA,2007,6,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2008,7,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2009,8,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2010,9,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2011,10,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2012,11,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2013,12,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2014,13,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2015,14,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2016,15,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2017,16,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
NA,2018,17,"2_CDX","Edge",2,"CDX","D","X",NA,NA,NA
"RHORHO",2003,2,"3_CDX","Edge",3,"CDX","D","X","RHRH4","Rhodiola rhodantha","forb"
NA,2004,3,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2005,4,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2006,5,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
"TRIPAR",2007,6,"3_CDX","Edge",3,"CDX","D","X","TRPAP","Trifolium parryi ssp. parryi","forb"
NA,2008,7,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2009,8,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2010,9,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2011,10,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
"BISVIV",2012,11,"3_CDX","Edge",3,"CDX","D","X","POVI3","Polygonum viviparum","forb"
"SIBPRO",2012,11,"3_CDX","Edge",3,"CDX","D","X","SIPR","Sibbaldia procumbens","forb"
NA,2013,12,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2014,13,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2015,14,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2016,15,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
"TRISPI",2017,16,"3_CDX","Edge",3,"CDX","D","X","TRSP2","Trisetum spicatum","graminoid"
NA,2018,17,"3_CDX","Edge",3,"CDX","D","X",NA,NA,NA
NA,2003,2,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
NA,2004,3,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
NA,2005,4,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
"AREFEN",2006,5,"4_CDX","Tundra Lab",4,"CDX","D","X","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
NA,2008,7,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
NA,2009,8,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
NA,2010,9,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
NA,2011,10,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
"BISVIV",2012,11,"4_CDX","Tundra Lab",4,"CDX","D","X","POVI3","Polygonum viviparum","forb"
NA,2013,12,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
"CARSCO",2014,13,"4_CDX","Tundra Lab",4,"CDX","D","X","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2015,14,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
"SAXRHO",2016,15,"4_CDX","Tundra Lab",4,"CDX","D","X","SARH2","Saxifraga rhomboidea","forb"
NA,2017,16,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
NA,2018,17,"4_CDX","Tundra Lab",4,"CDX","D","X",NA,NA,NA
"BISVIV",2003,2,"5_CDX","Watershed",5,"CDX","D","X","POVI3","Polygonum viviparum","forb"
"MERLAN",2003,2,"5_CDX","Watershed",5,"CDX","D","X","MELA3","Mertensia lanceolata","forb"
"SIBPRO",2003,2,"5_CDX","Watershed",5,"CDX","D","X","SIPR","Sibbaldia procumbens","forb"
NA,2004,3,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2005,4,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2006,5,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2007,6,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2008,7,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2009,8,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
"ALLGEY",2010,9,"5_CDX","Watershed",5,"CDX","D","X","ALGE","Allium geyeri","forb"
NA,2011,10,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2012,11,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2013,12,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2014,13,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
"STELON",2015,14,"5_CDX","Watershed",5,"CDX","D","X","STLOL7","Stellaria longipes ssp. longipes","forb"
"SOLMUL",2016,15,"5_CDX","Watershed",5,"CDX","D","X","SOMU","Solidago multiradiata","forb"
"MINOBT",2017,16,"5_CDX","Watershed",5,"CDX","D","X","MIOB2","Minuartia obtusiloba","forb"
NA,2018,17,"5_CDX","Watershed",5,"CDX","D","X",NA,NA,NA
NA,2003,2,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
"BISVIV",2004,3,"6_CDX","Lefty",6,"CDX","D","X","POVI3","Polygonum viviparum","forb"
"LLOSER",2004,3,"6_CDX","Lefty",6,"CDX","D","X","LLSE","Lloydia serotina","forb"
"STELON",2005,4,"6_CDX","Lefty",6,"CDX","D","X","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2006,5,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
NA,2007,6,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
NA,2008,7,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
NA,2009,8,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
NA,2010,9,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
"CASOCC",2011,10,"6_CDX","Lefty",6,"CDX","D","X","CAOC4","Castilleja occidentalis","forb"
NA,2012,11,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
"ALLGEY",2013,12,"6_CDX","Lefty",6,"CDX","D","X","ALGE","Allium geyeri","forb"
NA,2014,13,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
"SOLMUL",2015,14,"6_CDX","Lefty",6,"CDX","D","X","SOMU","Solidago multiradiata","forb"
"LEWPYG",2016,15,"6_CDX","Lefty",6,"CDX","D","X","LEPY2","Lewisia pygmaea","forb"
NA,2017,16,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
NA,2018,17,"6_CDX","Lefty",6,"CDX","D","X",NA,NA,NA
"CASOCC",2003,2,"7_CDX","Subalpine",7,"CDX","D","X","CAOC4","Castilleja occidentalis","forb"
NA,2004,3,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2005,4,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
"MERLAN",2006,5,"7_CDX","Subalpine",7,"CDX","D","X","MELA3","Mertensia lanceolata","forb"
"RANADO",2006,5,"7_CDX","Subalpine",7,"CDX","D","X","RAAD","Ranunculus adoneus","forb"
NA,2007,6,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
"POAALP",2008,7,"7_CDX","Subalpine",7,"CDX","D","X","POAL2","Poa alpina","graminoid"
NA,2009,8,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2010,9,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2011,10,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2012,11,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2013,12,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2014,13,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2015,14,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2016,15,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2017,16,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
NA,2018,17,"7_CDX","Subalpine",7,"CDX","D","X",NA,NA,NA
"SAXRHO",2003,2,"1_CXC","Longs",1,"CXC","X","C","SARH2","Saxifraga rhomboidea","forb"
NA,2004,3,"1_CXC","Longs",1,"CXC","X","C",NA,NA,NA
NA,2005,4,"1_CXC","Longs",1,"CXC","X","C",NA,NA,NA
"AREFEN",2006,5,"1_CXC","Longs",1,"CXC","X","C","ARFE3","Arenaria fendleri","forb"
"MINOBT",2007,6,"1_CXC","Longs",1,"CXC","X","C","MIOB2","Minuartia obtusiloba","forb"
"CHIJAM",2008,7,"1_CXC","Longs",1,"CXC","X","C","CHJA","Chionophila jamesii","forb"
"POAALP",2009,8,"1_CXC","Longs",1,"CXC","X","C","POAL2","Poa alpina","graminoid"
NA,2010,9,"1_CXC","Longs",1,"CXC","X","C",NA,NA,NA
NA,2011,10,"1_CXC","Longs",1,"CXC","X","C",NA,NA,NA
NA,2012,11,"1_CXC","Longs",1,"CXC","X","C",NA,NA,NA
NA,2013,12,"1_CXC","Longs",1,"CXC","X","C",NA,NA,NA
"POAGLA",2014,13,"1_CXC","Longs",1,"CXC","X","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
NA,2015,14,"1_CXC","Longs",1,"CXC","X","C",NA,NA,NA
NA,2003,2,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2004,3,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2005,4,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
"AREFEN",2006,5,"2_CXC","Edge",2,"CXC","X","C","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2008,7,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
"CARSCO",2009,8,"2_CXC","Edge",2,"CXC","X","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"STELON",2009,8,"2_CXC","Edge",2,"CXC","X","C","STLOL7","Stellaria longipes ssp. longipes","forb"
NA,2010,9,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2011,10,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2012,11,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2013,12,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2014,13,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2015,14,"2_CXC","Edge",2,"CXC","X","C",NA,NA,NA
NA,2003,2,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
NA,2004,3,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
NA,2005,4,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
"LEWPYG",2006,5,"3_CXC","Edge",3,"CXC","X","C","LEPY2","Lewisia pygmaea","forb"
NA,2007,6,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
NA,2008,7,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
NA,2009,8,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
"CASOCC",2010,9,"3_CXC","Edge",3,"CXC","X","C","CAOC4","Castilleja occidentalis","forb"
NA,2011,10,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
NA,2012,11,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
"BISVIV",2013,12,"3_CXC","Edge",3,"CXC","X","C","POVI3","Polygonum viviparum","forb"
"SALIX_SP1",2014,13,"3_CXC","Edge",3,"CXC","X","C","SALIX","Salix","shrub, subshrub"
NA,2015,14,"3_CXC","Edge",3,"CXC","X","C",NA,NA,NA
NA,2003,2,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2004,3,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2005,4,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2006,5,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2007,6,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2008,7,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2009,8,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2010,9,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
"CHIJAM",2011,10,"4_CXC","Tundra Lab",4,"CXC","X","C","CHJA","Chionophila jamesii","forb"
NA,2012,11,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
NA,2013,12,"4_CXC","Tundra Lab",4,"CXC","X","C",NA,NA,NA
"CARSCO",2014,13,"4_CXC","Tundra Lab",4,"CXC","X","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"CARHET",2015,14,"4_CXC","Tundra Lab",4,"CXC","X","C","CAHEC","Carex heteroneura var. chalciolepis","graminoid"
NA,2003,2,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
NA,2004,3,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
NA,2005,4,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
"AREFEN",2006,5,"5_CXC","Watershed",5,"CXC","X","C","ARFE3","Arenaria fendleri","forb"
"CALLEP",2007,6,"5_CXC","Watershed",5,"CXC","X","C","CALE4","Caltha leptosepala","forb"
NA,2008,7,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
NA,2009,8,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
NA,2010,9,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
NA,2011,10,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
"LEWPYG",2012,11,"5_CXC","Watershed",5,"CXC","X","C","LEPY2","Lewisia pygmaea","forb"
NA,2013,12,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
"CARSCO",2014,13,"5_CXC","Watershed",5,"CXC","X","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
NA,2015,14,"5_CXC","Watershed",5,"CXC","X","C",NA,NA,NA
"GENAMA",2003,2,"6_CXC","Lefty",6,"CXC","X","C","GEAM3","Gentianella amarella","forb"
NA,2004,3,"6_CXC","Lefty",6,"CXC","X","C",NA,NA,NA
NA,2005,4,"6_CXC","Lefty",6,"CXC","X","C",NA,NA,NA
NA,2006,5,"6_CXC","Lefty",6,"CXC","X","C",NA,NA,NA
NA,2007,6,"6_CXC","Lefty",6,"CXC","X","C",NA,NA,NA
"CHIJAM",2008,7,"6_CXC","Lefty",6,"CXC","X","C","CHJA","Chionophila jamesii","forb"
"FESBRA",2008,7,"6_CXC","Lefty",6,"CXC","X","C","FEBR","Festuca brachyphylla","graminoid"
NA,2009,8,"6_CXC","Lefty",6,"CXC","X","C",NA,NA,NA
"POAGLA",2010,9,"6_CXC","Lefty",6,"CXC","X","C","POGLR2","Poa glauca ssp. rupicola","graminoid"
"CARSCO",2011,10,"6_CXC","Lefty",6,"CXC","X","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"CASOCC",2012,11,"6_CXC","Lefty",6,"CXC","X","C","CAOC4","Castilleja occidentalis","forb"
"SIBPRO",2012,11,"6_CXC","Lefty",6,"CXC","X","C","SIPR","Sibbaldia procumbens","forb"
NA,2013,12,"6_CXC","Lefty",6,"CXC","X","C",NA,NA,NA
"PEDGRO",2014,13,"6_CXC","Lefty",6,"CXC","X","C","PEGR2","Pedicularis groenlandica","forb"
"TRISPI",2014,13,"6_CXC","Lefty",6,"CXC","X","C","TRSP2","Trisetum spicatum","graminoid"
NA,2015,14,"6_CXC","Lefty",6,"CXC","X","C",NA,NA,NA
"BISVIV",2003,2,"7_CXC","Subalpine",7,"CXC","X","C","POVI3","Polygonum viviparum","forb"
NA,2004,3,"7_CXC","Subalpine",7,"CXC","X","C",NA,NA,NA
"STELON",2005,4,"7_CXC","Subalpine",7,"CXC","X","C","STLOL7","Stellaria longipes ssp. longipes","forb"
"CARSCO",2006,5,"7_CXC","Subalpine",7,"CXC","X","C","CASCS2","Carex scopulorum var. scopulorum","graminoid"
"DANINT",2007,6,"7_CXC","Subalpine",7,"CXC","X","C","DAIN","Danthonia intermedia","graminoid"
NA,2008,7,"7_CXC","Subalpine",7,"CXC","X","C",NA,NA,NA
"ARTSCO",2009,8,"7_CXC","Subalpine",7,"CXC","X","C","ARSC","Artemisia scopulorum","forb"
NA,2010,9,"7_CXC","Subalpine",7,"CXC","X","C",NA,NA,NA
NA,2011,10,"7_CXC","Subalpine",7,"CXC","X","C",NA,NA,NA
NA,2012,11,"7_CXC","Subalpine",7,"CXC","X","C",NA,NA,NA
NA,2013,12,"7_CXC","Subalpine",7,"CXC","X","C",NA,NA,NA
NA,2014,13,"7_CXC","Subalpine",7,"CXC","X","C",NA,NA,NA
"LEWPYG",2015,14,"7_CXC","Subalpine",7,"CXC","X","C","LEPY2","Lewisia pygmaea","forb"
"TRIPAR",2015,14,"7_CXC","Subalpine",7,"CXC","X","C","TRPAP","Trifolium parryi ssp. parryi","forb"
NA,2003,2,"1_CXN","Longs",1,"CXN","X","N",NA,NA,NA
"ERISIM",2004,3,"1_CXN","Longs",1,"CXN","X","N","ERSI3","Erigeron simplex","forb"
NA,2005,4,"1_CXN","Longs",1,"CXN","X","N",NA,NA,NA
"AREFEN",2006,5,"1_CXN","Longs",1,"CXN","X","N","ARFE3","Arenaria fendleri","forb"
NA,2007,6,"1_CXN","Longs",1,"CXN","X","N",NA,NA,NA
"CHIJAM",2008,7,"1_CXN","Longs",1,"CXN","X","N","CHJA","Chionophila jamesii","forb"
"LEWPYG",2008,7,"1_CXN","Longs",1,"CXN","X","N","LEPY2","Lewisia pygmaea","forb"
NA,2009,8,"1_CXN","Longs",1,"CXN","X","N",NA,NA,NA
NA,2010,9,"1_CXN","Longs",1,"CXN","X","N",NA,NA,NA
