eco_year,fal_meanT,spr_meanT,sum_meanT,wnt_meanT,MAT,sum_GDD,GDD,fivedayrunning5C,fivedayrunning12C,GSLthreeday0C,GSLthreedayneg3C,fal_precip,spr_precip,sum_precip,wnt_precip,tot_precip,moisturedeficit,pet,sum_moisturedeficit,fal_moisturedeficit,spr_PET,sum_PET,fal_PET,sdl_meltout,dm_meltout,ff_meltout,mm_meltout,sb_meltout,wm_meltout,iceoff_Albion,iceoff_Arikaree,iceoff_GL1,iceoff_GL2,iceoff_GL3,iceoff_GL4,iceoff_GL5,iceoff_Silver,iceon_Albion,iceon_Arikaree,iceon_GL1,iceon_GL2,iceon_GL3,iceon_GL4,iceon_GL5,iceon_Silver
2006,1.43252747252747,-1.75532608695652,10.7805434782609,-10.3327777777778,0.0841917808219178,560.0875,815.5175,41,20,109,111,204.75,259.35,219,391.17,1074.27,63.2137808207441,360.826957078518,27.6443578152785,35.5694230054656,44.3522793595454,224.949561389445,91.1326956789791,127.745762711864,79.4545454545455,118.75,133.857142857143,156.454545454545,128.6,158,NA,158,158,152,186,189,130,295,257,295,295,290,288,288,325
2007,-0.973956043956044,-1.09,11.0629347826087,-9.24911111111111,-0.00969863013698627,599.833,769.678241418976,47,41,110,122,207.48,234,228,299.13,968.61,45.1893091053877,320.759979422365,22.6976873849221,22.4916217204656,42.4575213829192,220.968838546341,57.3336194931055,156.602272727273,145.1875,146.25,157.961538461538,164.95652173913,161.4,160,NA,154,157,155,182,188,143,313,280,296,308,295,293,293,320
2008,1.70923076923077,-4.50152173913043,9.93097826086957,-11.6804395604396,-1.11439890710383,525.2375,732.3465,66,31,65,122,89.7,346.71,239,409.11,1084.52,14.177028301959,320.617206157822,10.4159308017468,3.76109750021212,24.2355616888095,212.049669542607,84.3319749264056,146.727272727273,90.375,80.25,164.153846153846,183.913043478261,150.8,166,NA,162,168,166,192,205,157,313,262,308,308,308,310,305,319
2009,1.1732967032967,-2.35532608695652,9.1529347826087,-9.296,-0.28627397260274,454.287,658.126342239816,53,51,103,135,121.68,241.02,153,345.54,861.24,26.1785969603137,333.265071716746,20.4963273112971,5.68226964901656,40.4237617374048,207.255540662015,85.5468900224697,162.727272727273,145.1875,149.5,163.192307692308,178.608695652174,159,166,NA,153,170,154,196,203,140,307,264,303,307,295,295,294,327
2010,-0.0921978021978022,-3.32065217391304,10.4972826086957,-10.9923333333333,-0.924520547945206,542.39063813676,707.32013813676,42,28,117,153,156.39,280.8,192,315.9,945.09,53.3061446115778,305.067572806463,23.5077559310821,29.7983886804956,23.7548035949277,214.464006077927,66.8487631336081,167.511363636364,162.5,148.5,169.5,175.739130434783,166,163,NA,157,164,163,191,196,145,NA,266,NA,NA,NA,300,292,NA
2011,1.24274725274725,-3.46032608695652,10.7065217391304,-10.0844444444444,-0.350301369863014,567.152942061298,815.157805291001,67,34,118,140,232.05,428.22,313,492.18,1465.45,55.9008656693253,335.063539238484,5.16473819808128,50.736127471244,18.2087747851221,220.878076422921,95.9766880304415,168.681818181818,128,97.125,185.461538461538,198.695652173913,178.8,178,NA,178,181,179,217,222,163,NA,258,NA,NA,NA,299,297,NA
2012,0.10043956043956,0.365108695652174,11.738152173913,-9.24186813186813,0.76948087431694,642.032,900.5075,15,31,122,146,173.55,90.09,270,323.31,856.95,38.4074832052838,357.103436380513,19.0589792365142,19.3485039687696,57.7066865224551,226.730496117973,72.3179635698468,108.858974358974,78.875,66,114.916666666667,138.75,103,126,NA,129,129,141,168,176,108,301,276,300,300,299,297,296,319
2013,1.54087912087912,-3.84239130434783,10.9015217391304,-10.2648888888889,-0.367616438356164,573.412,781.0515,58,15,114,133,106.47,265.2,177,234.78,783.45,24.8223213515711,326.84124282656,5.63994801644026,19.1823733351309,27.3935568737861,221.572858821021,77.4626668174745,141.058823529412,134,137.333333333333,144,154,142,162,NA,162,166,162,188,194,155,295,266,293,293,293,288,285,309
2014,0.425164835164835,-2.92054347826087,9.2745652173913,-10.3155555555556,-0.836,466.1,664.8825,50,33,114,139,294.06,356.07,182,335.79,1167.92,14.0784259815156,314.266583703399,11.6974607610249,2.38096522049068,39.0666021736705,205.157437573694,69.897623250997,158.530864197531,134.8125,140.75,162.913043478261,178.684210526316,152.6,164,NA,172,165,160,196,202,144,310,273,307,307,305,304,299,322
2015,1.18175824175824,-1.48391304347826,10.5132608695652,-7.77966666666667,0.652246575342466,533.959,751.014,15,33,145,156,141.57,276.21,154.89,342.59,915.26,37.3601761682896,337.057075920112,26.6440372815799,10.7161388867096,27.6794858937956,213.84152815041,92.357875360872,160.555555555556,150.375,146.375,162.333333333333,171.052631578947,157.2,172,NA,164,171,168,189,193,141,310,281,304,300,302,296,296,323
2016,2.13824175824176,-2.8120652173913,10.8598913043478,-9.04956043956044,0.304562841530055,572.2005,827.011,52,34,116,130,184.44,321.6,167,284.8,957.84,98.9322447230171,347.3526231125,33.6964252753762,65.2358194476409,26.3855942598227,219.142603999419,101.824424853258,154.375,135.375,129.5,158.461538461538,171.565217391304,143.6,157,NA,160,162,164,182,189,149,NA,NA,322,324,324,316,310,NA
2017,2.75714285714286,-1.11554347826087,10.4821739130435,-9.03044444444444,0.821616438356164,536.0155,798.957,16,32,118,126,94.77,284.57,187.71,459.74,1026.79,58.6726602248679,363.692958567652,26.0741689103871,32.5984913144808,44.7659604204775,218.965359264453,99.006860550433,166.344827586207,143.875,146.5,171.653846153846,185.454545454545,157,169,NA,173,172,169,199,NA,148,300,NA,294,294,296,290,289,313
2018,1.61131868131868,-0.989565217391304,11.2511956521739,-8.12833333333333,0.983972602739726,605.525,860.0015,52,8,140,157,133.14,240.40346,126.462,349.24572,849.25118,57.0197777687655,339.876128346585,44.3241099438877,12.6956678248777,48.5175786942654,217.220451184899,74.1380984674212,NA,NA,NA,NA,NA,NA,173,NA,173,173,173,177,184,116,304,NA,296,296,296,296,296,NA
