"year" "AET.Jan" "AET.Feb" "AET.Mar" "AET.Apr" "AET.May" "AET.Jun" "AET.Jul" "AET.Aug" "AET.Sep" "AET.Oct" "AET.Nov" "AET.Dec" "DEF.Jan" "DEF.Feb" "DEF.Mar" "DEF.Apr" "DEF.May" "DEF.Jun" "DEF.Jul" "DEF.Aug" "DEF.Sep" "DEF.Oct" "DEF.Nov" "DEF.Dec" "SUR.Jan" "SUR.Feb" "SUR.Mar" "SUR.Apr" "SUR.May" "SUR.Jun" "SUR.Jul" "SUR.Aug" "SUR.Sep" "SUR.Oct" "SUR.Nov" "SUR.Dec" "PET.Jan" "PET.Feb" "PET.Mar" "PET.Apr" "PET.May" "PET.Jun" "PET.Jul" "PET.Aug" "PET.Sep" "PET.Oct" "PET.Nov" "PET.Dec"
"11" 2000 0 0 0 5.66527293492994 31.7604425558345 52.7489074831329 74.1153009624505 58.0988330736996 52.6943742975963 19.7858610682953 0 0 0 0 0 0 0 0 2.65098847660536 18.2023677278918 1.67102588642861 0 0 0 0 0 0 28.7278264496956 350.057894164165 423.410924724415 0 0 0.654244641924947 0 0 0 0 0 0 5.66527293492992 31.7604425558345 52.7489074831329 79.3267642985283 78.279408694447 56.4303093783733 21.7064074147485 0 0
"12" 2001 0 0 0 10.7817974080531 31.036160860896 63.236014606859 77.0271913186464 71.6975288880072 56.858148989725 17.5112833336159 6.7730733020445 0 0 0 0 0 0 0 0.270874916997123 1.15922272091384 0.0541951576738926 1.00915996646167 0 0 0 0 0 79.5274190873034 319.980466899104 245.811877169066 11.5438083533966 17.2312443377824 23.3820894135437 42.227759047207 0 0 0 0 0 10.7817974080532 31.036160860896 63.236014606859 80.1672488369346 72.5119508383911 56.2753650101767 20.3950749086893 6.7730733020445 0
"13" 2002 0 0 0 10.0268878860005 26.5293679808895 67.5963259298625 60.6633038581303 60.4245794975494 38.9016055751256 10.3637579854318 0.318530219205711 0 0 0 0 0 0 2.51238547706475 19.9028704126064 10.5306055255366 7.70132831709224 0 0 0 3.0769266979555 0 0 105.207371234 298.873714339111 140.124948027058 0 0 2.66978257930904 16.4643267429934 0 0 0 0 0 10.0268878860005 26.5293679808895 70.1087114069273 82.7541078505096 72.5083059745758 48.1617014556 8.51604898375128 0.318530219205716 0
"14" 2003 0.125922972175575 0 0.992931206766784 9.6294602549287 29.7661805088767 45.9247352880783 73.5918801491426 62.263132039347 46.1922321643339 25.1098803556147 0.719999999999999 7.3708744 0 0 0 0 0 0 10.6148597639409 10.0110458055819 0.0632111806083159 8.53842250884994 0 0 0.0352120801935882 7.87 9.56788527323322 126.451527185071 336.793443971123 298.749953938492 0 0 2.70711281790959 0 0 0 0.125922972175578 0 0.992931206766777 9.6294602549287 29.7661805088766 45.9247352880783 86.9837001532139 74.7970418637223 48.4924298213195 35.3730231489333 0 0.739551989970382
"15" 2004 0 0.13760337201454 10.2207990899344 6.69546903745595 33.2589205921583 58.1550121068128 75.7571028864857 62.7508190215547 46.8106701564699 13.7515676919598 4.46945609014088 0 0 0 0 0 0 0 0.219073994466755 3.42912862481659 1.22607023117141 0 0 0 0 0 47.2137709753932 107.749043762544 303.505642127842 167.484550773187 23.7366728222872 2.4252543786784 19.3822076660034 37.7024945480402 39.4764648698591 0 0 0.13760337201454 10.2207990899344 6.69546903745594 33.2589205921584 58.1550121068128 78.0994569010269 68.2670530030086 50.6736280794502 13.7515676919598 4.46945609014089 0
"16" 2005 0.300300264754612 0 0 6.95851311511912 27.7651646915575 50.9870523723515 64.8464519585192 66.2715051382324 41.4965502162222 20.620429683123 12.219418306387 0 0 0 0 0 0 0 16.3300866859295 3.4407341951148 18.1681579814312 1.34887989456238 0 0 3.55369973524539 0 0.510000000000005 63.5882061648809 312.781610428442 271.709220441452 0 0 0 0 14.1355817912576 0 0.300300264754613 0 0 6.95851311511912 27.7651646915576 50.9870523723514 83.501401729372 69.9620469599263 61.2659870688624 23.9433957082631 2.49291095977954 0
"17" 2006 0 0.426957725294552 0.37019342473567 12.3040725456519 29.9586300761206 70.0534120270732 78.6684933449382 45.7829904652059 28.0036894870805 13.2055639636476 3.53588247855478 0 0 0 0 0 0 0.119643136516861 1.73218796535862 25.0481522071074 9.31616985177798 0 0 0 0 3.87892320047874 4.03021481526433 115.124731214348 318.557186963879 268.962364903058 91.0182855605256 0 5.12974187795088 0.342216258734197 32.6436373614452 0 0 0.426957725294555 0.370193424735668 12.3040725456519 29.9586300761206 70.17305516359 81.4697903211916 72.5760003231953 37.9829850478015 15.1562097847141 3.53588247855478 0
"18" 2007 0 0 3.8796312601173 6.97167887424864 28.509317018406 58.9470786671868 59.0026041961296 76.8977496892974 50.2170994310904 27.8884965457516 6.31606376422825 0 0 0 0 0 0 3.35105537391435 19.0159595175379 0 0 0 0 0 0 0 56.4685296998827 88.3313936057514 300.427583541594 177.25939015332 8.93847620589749 13.8597533529477 0 30.2021700853046 0 0 0 0 3.87963126011728 6.97167887424863 28.509317018406 62.2981340411011 79.4037022449862 78.3465322299114 52.8297447953167 24.8095026537232 6.31606376422822 0
"19" 2008 0 0 2.99 4.69223995318318 18.7963174496765 54.5713903162179 74.9058388694732 68.452775540423 51.6070192840748 23.6785509272794 2.52001325277989 0 0 0 0 0 0 0 5.30553985329817 3.01622393551814 0 0.837687081386844 0.373458506034411 0 0 0 0 120.965008851532 192.038973190323 447.131665159493 0 37.1171590337539 55.9210074431454 0 0 0 0 0 0 4.69223995318318 18.7963174496765 54.5713903162179 82.9032501642034 73.726208113537 53.6633053825317 26.4810400311204 4.2177293966038 0
"20" 2009 0 0 2.28069985096217 6.59630301473852 30.1187352694728 53.798020307775 67.3419940497145 59.8706515815034 29.3525079535992 5.8075310810596 7.10198802152497 0 0 0 0 0 0 0 8.40426158248894 12.6824570007114 22.3139636841191 0 0 0 0 0 6.58791848466818 69.4904070652615 307.447080810527 209.428331624887 0 0 0 4.81151706674351 57.2015199941884 0 0 0 2.28069985096216 6.59630301473855 30.1187352694726 53.7980203077749 77.9887169478432 74.6532510724614 53.057346470836 5.80753108105959 7.10198802152497 0
"21" 2010 0 0 1.1058539153715 5.3418170356458 16.1638810523263 62.0725615379541 68.7679341763926 73.9516295820525 31.1457545029678 10.6677077347593 6.16203143086162 0 0 0 0 0 0 0.894069074587523 15.4854643700113 3.42695350543292 32.8423939549086 12.3102870250402 0 0 0.0300000000000011 0 18.0156632046285 65.9094692043542 184.149879907674 375.97719031237 0 0 0 0 16.2744904341215 0 0 0 1.10585391537152 5.34181703564579 16.1638810523263 62.9666306125416 76.9290027768284 73.3867042985117 65.4867763980247 23.4916511606911 6.16203143086163 0
"22" 2011 0 0 0.372376537880715 0.832111991295442 14.6317617068298 57.1263080727554 80.4892165107285 77.0988321119086 46.8099421172085 16.3014886615963 0.566219032861687 0 0 0 0 0 0 0 0.00242666423544599 4.98237033728649 2.59107656860694 0.58356261697301 0 0 0 0 7.70268932814932 7.37013800870456 195.36386213317 671.214809127245 265.036691884046 21.5955586891595 2.20652597952161 0 0 0 0 0 0.372376537880706 0.832111991295432 14.6317617068297 57.1263080727555 80.4916431749638 82.4411917954258 51.7258837147774 18.9397748422587 0.566219032861682 0
"23" 2012 0.194580728777968 0 9.08448860229387 16.0543973745663 29.517964150486 59.8360315524311 68.0859465814687 75.1959933940693 47.5200820516517 17.6755202802724 4.05435697935343 0.434188006270243 0 0 0 0 0 13.6751786595105 8.15669659496963 1.3349480276388 4.41842443515382 0 0 0 0 0 96.454385983015 178.928742625434 199.178716553065 0 88.498557421625 0.850664594021737 0.240548395296244 7.64189069691651 10.0949330206466 4.85146319372976 0.194580728777967 0 9.08448860229387 16.0543973745663 29.5179641504861 74.2167225957074 77.6723845147329 74.1540921605721 53.4604062126556 18.7943811421945 4.05435697935342 0.434188006270247
"24" 2013 0 0 0.335883321532441 2.2770604506787 23.068903801729 61.7180280479723 74.951780335871 71.4362510754689 52.5894834005096 13.4837541810069 0.0787163042520307 0 0 0 0 0 0 6.16208971508097 0.594281734682045 2.40671112620034 0.840682408816855 0 0 0 0.129999999999995 0 4.33520739846756 23.9448530693213 294.705672678271 128.804504800724 0 0 215.321864239844 51.3249116589931 2.72978369574797 1.15000000000001 0 0 0.335883321532447 2.27706045067872 23.068903801729 67.8801177630533 76.100348787224 76.4172450410375 55.7412024328973 13.4837541810069 0.0787163042520242 0
