site,yr,date,plotid,clean_code2,hits
nutnet,2013,2013-07-26,B1_5,POVI3,3
nutnet,2013,2013-07-26,B1_5,PRAN,0.25
nutnet,2013,2013-07-26,B1_5,SARH2,1
nutnet,2013,2013-07-26,B1_5,SEDES,9
nutnet,2013,2013-07-26,B1_5,SELA,5
nutnet,2013,2013-07-26,B1_5,SOSIN,5
nutnet,2013,2013-07-26,B1_5,TEGR3,1
nutnet,2013,2013-07-26,B1_5,TRPAP,12
nutnet,2013,2013-07-26,B1_5,TRSP2,2
nutnet,2013,2013-07-28,B1_6,2LTR,1
nutnet,2013,2013-07-28,B1_6,ARFEF3,4
nutnet,2013,2013-07-28,B1_6,CAOC4,0.25
nutnet,2013,2013-07-28,B1_6,CARUD,40
nutnet,2013,2013-07-28,B1_6,CAUN2,12
nutnet,2013,2013-07-28,B1_6,CEARS2,1
nutnet,2013,2013-07-28,B1_6,DECE,2
nutnet,2013,2013-07-28,B1_6,ERNA,1
nutnet,2013,2013-07-28,B1_6,FEBR,2
nutnet,2013,2013-07-28,B1_6,KOMY,53
nutnet,2013,2013-07-28,B1_6,LEPY2,0.25
nutnet,2013,2013-07-28,B1_6,LLSE,9
nutnet,2013,2013-07-28,B1_6,MELA3,2
nutnet,2013,2013-07-28,B1_6,MIOB2,3
nutnet,2013,2013-07-28,B1_6,ORALA,13
nutnet,2013,2013-07-28,B1_6,PEPA3,4
nutnet,2013,2013-07-28,B1_6,PHPU5,5
nutnet,2013,2013-07-28,B1_6,POARG,2
nutnet,2013,2013-07-28,B1_6,POBI6,2
nutnet,2013,2013-07-28,B1_6,PODI2,0.25
nutnet,2013,2013-07-28,B1_6,POVI3,2
nutnet,2013,2013-07-28,B1_6,PRAN,0.25
nutnet,2013,2013-07-28,B1_6,SARH2,1
nutnet,2013,2013-07-28,B1_6,SEDES,2
nutnet,2013,2013-07-28,B1_6,SELA,2
nutnet,2013,2013-07-28,B1_6,SIACS2,9
nutnet,2013,2013-07-28,B1_6,TEACC,2
nutnet,2013,2013-07-28,B1_6,TEGR3,3
nutnet,2013,2013-07-28,B1_6,TRSP2,1
nutnet,2013,2013-07-28,B1_6,VIOLA,1
nutnet,2013,2013-07-28,B1_7,ALGE,10
nutnet,2013,2013-07-28,B1_7,ARFEF3,15
nutnet,2013,2013-07-28,B1_7,CAPU,0.25
nutnet,2013,2013-07-28,B1_7,CARO2,2
nutnet,2013,2013-07-28,B1_7,CARUD,25
nutnet,2013,2013-07-28,B1_7,CASC12,1
nutnet,2013,2013-07-28,B1_7,CAUN2,8
nutnet,2013,2013-07-28,B1_7,CEARS2,15
nutnet,2013,2013-07-28,B1_7,DECE,1
nutnet,2013,2013-07-28,B1_7,ELYMU,0.25
nutnet,2013,2013-07-28,B1_7,ERCA14,2
nutnet,2013,2013-07-28,B1_7,ERSI3,3
nutnet,2013,2013-07-28,B1_7,FEBR,4
nutnet,2013,2013-07-28,B1_7,GERO2,2
nutnet,2013,2013-07-28,B1_7,KOMY,38
nutnet,2013,2013-07-28,B1_7,LLSE,8
nutnet,2013,2013-07-28,B1_7,MELA3,4
nutnet,2013,2013-07-28,B1_7,MIOB2,5
nutnet,2013,2013-07-28,B1_7,ORALA,22
nutnet,2013,2013-07-28,B1_7,PEPA3,5
nutnet,2013,2013-07-28,B1_7,PHPU5,2
nutnet,2013,2013-07-28,B1_7,POAL2,5
nutnet,2013,2013-07-28,B1_7,POARG,5
nutnet,2013,2013-07-28,B1_7,POBI6,3
nutnet,2013,2013-07-28,B1_7,PODI2,10
nutnet,2013,2013-07-28,B1_7,POPU3,2
nutnet,2013,2013-07-28,B1_7,PRAN,2
nutnet,2013,2013-07-28,B1_7,SEDES,1
